TIMESTAMP,Segment,Interpolated,Pfl - Temp (C),Pfl - Sp Cond (microS_cm),Pfl - pH,Pfl - DO (% Sat),Pfl - Turbidity (FNU),Pfl - fDOM (RFU),Pfl - fDOM (QSU),1818_time: AA[mBar],1818_time: DD Retning[°],1818_time: DX_l[°],1818_time: FF Hastighet[m/s],1818_time: FG_l[m/s],1818_time: FG_tid_l[N/A],1818_time: FX Kast[m/s],1818_time: FX_tid_l[N/A],1818_time: PO Trykk stasjonshøyde[mBar],1818_time: PP[mBar],1818_time: PR Trykk redusert til havnivå[mBar],1818_time: QLI Langbølget[W/m2],1818_time: QNH[mBar],1818_time: QSI Kortbølget[W/m2],1818_time: RR_1[mm],1818_time: TA Middel[°C],1818_time: TA_a_Max[°C],1818_time: TA_a_Min[°C],1818_time: UU Luftfuktighet[%RH],pH (SCADA),"Temperature, C (SCADA)",06-E.coli,08-Kimtall 22°C,21-Arsen,24-Bly,32-Kadmium,36-Kopper filtrert,37-Krom,41-Nikkel,Sink (Zn)
2021-11-05 12:00:00,1,0,6.68,0.0,6.3,99.2,4.17,-0.15,-1.63,7.0,256.0,277.0,1.8,6.1,1123.0,3.1,1108.0,997.8,0.6,1006.2,315.8885,1006.0,55.47547,0.0,5.6,5.9,5.4,84.0,,,,,,,,,,,
2021-11-05 13:00:00,1,0,7.42,0.0,5.4,99.13,4.37,-0.15,-1.65,8.0,251.0,239.0,1.9,8.5,1236.0,3.7,1242.0,997.4,0.8,1005.9,338.1953,1005.5,11.97285,1.6,4.4,5.6,4.2,91.0,,,,,,,,,,,
2021-11-05 14:00:00,1,0,7.89,0.0,5.53,99.08,4.53,-0.16,-1.66,8.0,254.0,254.0,2.6,10.6,1339.0,3.5,1345.0,997.3,0.8,1005.8,339.8792,1005.4,3.398502,0.7,4.7,4.8,4.4,89.0,,,,,,,,,,,
2021-11-05 15:00:00,1,0,8.25,-0.0,5.51,98.93,4.75,-0.15,-1.64,8.0,263.0,252.0,3.3,7.8,1408.0,3.4,1417.0,997.0,0.7,1005.5,339.4284,1005.2,-4.833517,1.3,4.5,4.9,3.8,90.0,,,,,,,,,,,
2021-11-05 16:00:00,1,0,8.51,0.0,5.33,98.78,4.56,-0.16,-1.66,8.0,266.0,203.0,2.4,11.1,1520.0,6.7,1529.0,996.5,0.8,1004.9,346.7193,1004.7,-8.776849,0.6,4.9,5.9,4.5,90.0,,,,,,,,,,,
2021-11-05 17:00:00,1,0,8.8,-0.0,5.08,98.72,8.0,-0.15,-1.64,8.0,212.0,206.0,3.2,10.7,1632.0,5.6,1638.0,995.8,1.4,1004.2,346.8331,1004.0,-7.241302,0.9,5.0,5.1,4.8,91.0,,,,,,,,,,,
2021-11-05 18:00:00,1,0,9.04,-0.01,5.29,98.53,9.01,-0.16,-1.66,5.0,244.0,209.0,1.5,10.4,1706.0,5.4,1713.0,995.9,1.1,1004.3,342.7209,1004.1,-9.464993,0.5,4.8,6.1,4.8,91.0,,,,,,,,,,,
2021-11-05 19:00:00,1,0,9.21,-0.01,5.6,98.33,8.65,-0.13,-1.58,5.0,263.0,249.0,1.5,6.7,1839.0,2.1,1854.0,996.5,0.1,1004.9,337.4291,1004.7,-9.912235,0.4,5.1,5.4,4.8,87.0,,,,,,,,,,,
2021-11-05 20:00:00,1,0,9.37,-0.0,5.05,98.31,9.51,-0.14,-1.61,3.0,286.0,286.0,1.5,4.1,1902.0,1.5,2000.0,996.2,0.4,1004.6,341.961,1004.4,-9.480649,0.1,4.7,5.1,4.6,89.0,,,,,,,,,,,
2021-11-05 21:00:00,1,0,9.52,-0.01,5.48,98.25,9.6,-0.13,-1.58,0.0,271.0,260.0,1.5,4.5,2056.0,1.8,2056.0,996.2,0.3,1004.6,313.782,1004.4,-8.699469,0.0,5.4,5.4,4.7,83.0,,,,,,,,,,,
2021-11-05 22:00:00,1,0,9.63,-0.0,5.28,98.14,9.59,-0.14,-1.6,5.0,296.0,227.0,1.1,5.8,2117.0,2.4,2125.0,996.4,0.1,1004.9,338.2377,1004.6,-9.34029,0.4,4.4,5.4,4.4,90.0,,,,,,,,,,,
2021-11-05 23:00:00,1,0,9.69,-0.0,5.23,98.09,9.58,-0.13,-1.59,3.0,230.0,230.0,2.9,10.2,2231.0,4.0,2254.0,997.1,0.8,1005.6,344.1935,1005.3,-9.404455,0.6,4.4,5.6,4.4,82.0,,,,,,,,,,,
2021-11-06 00:00:00,1,0,9.77,-0.01,5.39,98.09,9.55,-0.13,-1.58,3.0,228.0,237.0,2.0,8.3,2349.0,2.6,2301.0,997.8,1.6,1006.3,346.3573,1006.0,-8.673008,0.2,4.4,5.0,4.3,86.0,,,,,,,,,,,
2021-11-06 01:00:00,1,0,9.8,-0.01,5.38,98.05,9.56,-0.13,-1.59,2.0,220.0,234.0,2.4,8.9,27.0,2.7,32.0,998.1,1.7,1006.6,343.168,1006.2,-8.547057,0.5,4.5,4.5,3.9,83.0,,,,,,,,,,,
2021-11-06 02:00:00,1,0,9.82,-0.0,5.41,98.08,9.53,-0.14,-1.6,2.0,301.0,220.0,1.5,9.5,131.0,2.7,140.0,998.6,1.5,1007.1,295.5459,1006.8,-10.78713,0.0,3.6,4.9,3.6,82.0,,,,,,,,,,,
2021-11-06 03:00:00,1,0,9.87,-0.0,5.46,98.03,9.56,-0.14,-1.59,2.0,236.0,229.0,2.4,8.6,253.0,2.6,257.0,999.1,1.3,1007.6,325.1066,1007.3,-8.075191,0.3,3.8,4.2,3.4,84.0,,,,,,,,,,,
2021-11-06 04:00:00,1,0,9.92,-0.01,5.49,97.96,9.68,-0.14,-1.59,2.0,232.0,249.0,2.1,6.3,351.0,2.2,356.0,999.6,1.5,1008.1,342.0101,1007.8,-9.696605,0.1,3.8,4.0,3.3,86.0,,,,,,,,,,,
2021-11-06 05:00:00,1,0,9.96,-0.01,5.54,98.0,9.64,-0.14,-1.62,1.0,281.0,223.0,1.8,5.1,459.0,1.9,402.0,999.8,1.1,1008.3,343.4685,1008.0,-9.142563,0.2,3.6,3.8,3.3,90.0,,,,,,,,,,,
2021-11-06 06:00:00,1,0,10.0,-0.01,5.5,98.0,9.63,-0.15,-1.63,2.0,291.0,284.0,1.9,4.1,508.0,2.2,556.0,1000.1,1.1,1008.6,341.0722,1008.4,-8.665871,1.8,3.5,3.6,2.7,92.0,,,,,,,,,,,
