TIMESTAMP,RECORD,sensorParms(1),sensorParms(2),sensorParms(3),sensorParms(4),sensorParms(5),sensorParms(6),sensorParms(7),sensorParms(8),sensorParms(9),sensorParms(10),sensorParms(11),Latitude,Longitude
2021-11-06T11:56:02,7731,10.16,-0.0,-0.0,-0.0,5.51,97.61,9.59,9.59,-0.204,-0.13,-1.59,62.474464,6.461324
2021-11-06T12:56:02,7732,10.184,-0.0,-0.0,-0.0,5.45,97.48,9.6,9.6,-0.207,-0.15,-1.62,62.474464,6.461324
2021-11-06T13:56:03,7733,10.219,-0.0,-0.01,-0.0,5.45,97.28,9.63,9.63,-0.217,-0.13,-1.59,62.474464,6.461324
2021-11-06T14:56:02,7734,10.238,-0.0,-0.0,-0.0,5.36,97.12,9.61,9.61,-0.227,-0.13,-1.57,62.474464,6.461324
2021-11-06T15:56:02,7735,10.247,-0.0,-0.0,-0.0,5.34,96.94,9.6,9.6,-0.238,-0.13,-1.57,62.474464,6.461324
2021-11-06T16:56:02,7736,10.253,-0.01,-0.01,-0.0,5.3,96.82,9.61,9.61,-0.249,-0.14,-1.59,62.474464,6.461324
2021-11-06T17:56:02,7737,10.256,-0.0,-0.0,-0.0,5.25,96.71,9.6,9.6,-0.263,-0.14,-1.6,62.474464,6.461324
2021-11-06T18:56:02,7738,10.254,-0.0,-0.0,-0.0,5.08,96.5,9.61,9.61,-0.275,-0.13,-1.58,62.474464,6.461324
2021-11-06T19:56:02,7739,10.253,-0.0,-0.0,-0.0,5.15,96.29,9.59,9.59,-0.291,-0.13,-1.59,62.474464,6.461324
2021-11-06T20:56:02,7740,10.258,-0.01,-0.01,-0.0,4.88,96.17,9.62,9.62,-0.303,-0.15,-1.63,62.474464,6.461324
2021-11-06T21:56:02,7741,10.267,-0.0,-0.01,-0.0,4.74,96.02,9.63,9.63,-0.316,-0.13,-1.59,62.474464,6.461324
2021-11-06T22:56:02,7742,10.282,-0.0,-0.01,-0.0,4.68,95.79,9.58,9.58,-0.327,-0.13,-1.57,62.474464,6.461324
2021-11-06T23:56:02,7743,10.316,-0.0,-0.0,-0.0,4.71,95.71,9.62,9.62,-0.335,-0.13,-1.58,62.474464,6.461324
2021-11-07T00:56:02,7744,10.312,-0.0,-0.01,-0.0,4.72,95.48,9.65,9.65,-0.347,-0.13,-1.58,62.474464,6.461324
2021-11-07T01:56:02,7745,10.323,-0.0,-0.0,-0.0,4.67,95.38,9.6,9.6,-0.353,-0.13,-1.58,62.474464,6.461324
2021-11-07T02:56:02,7746,10.334,-0.0,-0.01,-0.0,4.55,95.28,9.57,9.57,-0.362,-0.13,-1.57,62.474464,6.461324
2021-11-07T03:56:02,7747,10.347,-0.0,-0.0,-0.0,4.51,95.19,9.59,9.59,-0.367,-0.13,-1.58,62.474464,6.461324
2021-11-07T04:56:02,7748,10.362,-0.0,-0.01,-0.0,4.54,95.04,9.62,9.62,-0.371,-0.12,-1.56,62.474464,6.461324
2021-11-07T05:56:02,7749,10.375,-0.0,-0.0,-0.0,4.28,95.05,9.58,9.58,-0.367,-0.13,-1.59,62.474464,6.461324
2021-11-07T06:56:02,7750,10.386,-0.0,-0.0,-0.0,4.67,95.0,9.64,9.64,-0.363,-0.13,-1.58,62.474464,6.461324
2021-11-07T07:56:02,7751,10.394,-0.0,-0.0,-0.0,4.53,95.0,9.58,9.58,-0.357,-0.12,-1.56,62.474464,6.461324
2021-11-07T08:56:02,7752,10.401,-0.0,-0.0,-0.0,4.55,95.04,9.59,9.59,-0.346,-0.13,-1.58,62.474464,6.461324
2021-11-07T09:56:02,7753,10.407,-0.0,-0.0,-0.0,4.33,95.18,9.62,9.62,-0.335,-0.13,-1.59,62.474464,6.461324
2021-11-07T10:56:02,7754,10.408,-0.0,-0.0,-0.0,4.19,95.19,9.61,9.61,-0.324,-0.13,-1.58,62.474464,6.461324
2021-11-07T11:56:02,7755,10.389,-0.0,-0.0,-0.0,4.38,95.17,9.6,9.6,-0.312,-0.13,-1.58,62.474464,6.461324
2021-11-07T12:56:02,7756,10.38,-0.0,-0.0,-0.0,4.18,95.31,9.59,9.59,-0.3,-0.14,-1.59,62.474464,6.461324
2021-11-07T13:56:02,7757,10.391,-0.0,-0.0,-0.0,4.15,95.33,9.6,9.6,-0.291,-0.13,-1.57,62.474464,6.461324
2021-11-07T14:56:02,7758,10.399,-0.0,-0.0,-0.0,4.3,95.39,9.59,9.59,-0.281,-0.14,-1.61,62.474464,6.461324
2021-11-07T15:56:02,7759,10.404,-0.0,-0.0,-0.0,4.04,95.48,9.6,9.6,-0.267,-0.13,-1.59,62.474464,6.461324
2021-11-07T16:56:02,7760,10.41,-0.0,-0.01,-0.0,4.22,95.57,9.64,9.64,-0.254,-0.12,-1.55,62.474464,6.461324
2021-11-07T17:56:02,7761,10.411,-0.0,-0.0,-0.0,4.08,95.68,9.6,9.6,-0.242,-0.13,-1.56,62.474464,6.461324
2021-11-07T18:56:02,7762,10.407,-0.0,-0.0,-0.0,4.2,95.7,9.6,9.6,-0.235,-0.13,-1.57,62.474464,6.461324
2021-11-07T19:56:02,7763,10.401,-0.0,-0.0,-0.0,4.23,95.7,9.59,9.59,-0.225,-0.13,-1.58,62.474464,6.461324
2021-11-07T20:56:02,7764,10.398,-0.0,-0.0,-0.0,3.82,95.8,9.58,9.58,-0.21,-0.14,-1.6,62.474464,6.461324
2021-11-07T21:56:02,7765,10.397,-0.0,-0.0,-0.0,3.89,95.93,9.56,9.56,-0.199,-0.13,-1.57,62.474464,6.461324
2021-11-07T22:56:02,7766,10.401,-0.0,-0.0,-0.0,3.31,95.99,9.61,9.61,-0.188,-0.14,-1.6,62.474464,6.461324
2021-11-07T23:56:02,7767,10.423,-0.0,-0.0,-0.0,3.57,96.08,9.6,9.6,-0.177,-0.14,-1.6,62.474464,6.461324
2021-11-08T00:56:02,7768,10.408,-0.0,-0.0,-0.0,3.94,96.06,9.62,9.62,-0.171,-0.13,-1.57,62.474464,6.461324
2021-11-08T01:56:02,7769,10.398,-0.0,-0.0,-0.0,3.43,96.07,9.59,9.59,-0.17,-0.13,-1.58,62.474464,6.461324
2021-11-08T02:56:02,7770,10.393,-0.0,-0.0,-0.0,3.39,95.95,9.63,9.63,-0.17,-0.12,-1.56,62.474464,6.461324
2021-11-08T03:56:02,7771,10.393,-0.0,-0.0,-0.0,3.32,96.02,9.59,9.59,-0.161,-0.13,-1.58,62.474464,6.461324
2021-11-08T04:56:02,7772,10.391,-0.0,-0.0,-0.0,3.04,96.1,9.56,9.56,-0.155,-0.13,-1.57,62.474464,6.461324
2021-11-08T05:56:02,7773,10.384,-0.0,-0.0,-0.0,3.16,96.04,9.6,9.6,-0.151,-0.13,-1.58,62.474464,6.461324
2021-11-08T06:56:02,7774,10.377,-0.0,-0.0,-0.0,3.1,96.13,9.61,9.61,-0.146,-0.14,-1.6,62.474464,6.461324
2021-11-08T07:56:02,7775,10.367,-0.0,-0.0,-0.0,2.7,96.12,9.58,9.58,-0.139,-0.13,-1.59,62.474464,6.461324
2021-11-08T08:56:02,7776,10.352,-0.0,-0.0,-0.0,2.95,96.12,9.59,9.59,-0.14,-0.13,-1.59,62.474464,6.461324
2021-11-08T09:56:02,7777,10.335,-0.0,-0.01,-0.0,3.15,96.04,9.58,9.58,-0.138,-0.13,-1.57,62.474464,6.461324
2021-11-08T10:56:02,7778,10.321,-0.0,-0.0,-0.0,2.7,96.1,9.58,9.58,-0.134,-0.14,-1.61,62.474464,6.461324
2021-11-08T11:56:02,7779,10.312,-0.0,-0.0,-0.0,4.09,96.06,9.62,9.62,-0.131,-0.13,-1.59,62.474464,6.461324
2021-11-08T12:56:02,7780,10.307,-0.0,-0.0,-0.0,3.08,96.0,9.59,9.59,-0.13,-0.13,-1.59,62.474464,6.461324
2021-11-08T13:56:02,7781,10.311,-0.0,-0.01,-0.0,2.99,95.94,9.58,9.58,-0.137,-0.14,-1.6,62.474464,6.461324
2021-11-08T14:56:02,7782,10.317,-0.0,-0.01,-0.0,3.48,95.85,9.58,9.58,-0.144,-0.13,-1.57,62.474464,6.461324
2021-11-08T15:56:02,7783,10.322,-0.0,-0.0,-0.0,2.93,95.72,9.61,9.61,-0.141,-0.13,-1.58,62.474464,6.461324
2021-11-08T16:56:02,7784,10.326,-0.0,-0.0,-0.0,2.97,95.69,9.6,9.6,-0.15,-0.13,-1.58,62.474464,6.461324
2021-11-08T17:56:02,7785,10.326,-0.0,-0.0,-0.0,3.23,95.59,9.6,9.6,-0.15,-0.12,-1.56,62.474464,6.461324
2021-11-08T18:56:02,7786,10.324,-0.0,-0.0,-0.0,2.91,95.53,9.61,9.61,-0.16,-0.13,-1.57,62.474464,6.461324
2021-11-08T19:56:02,7787,10.33,-0.0,-0.0,-0.0,2.7,95.44,9.59,9.59,-0.167,-0.14,-1.61,62.474464,6.461324
2021-11-08T20:56:02,7788,10.341,-0.0,-0.0,-0.0,5.22,95.29,9.61,9.61,-0.172,-0.13,-1.58,62.474464,6.461324
2021-11-08T21:56:02,7789,10.352,-0.0,-0.0,-0.0,2.69,95.2,9.62,9.62,-0.185,-0.12,-1.55,62.474464,6.461324
2021-11-08T22:56:02,7790,10.364,-0.0,-0.0,-0.0,4.07,94.96,9.62,9.62,-0.205,-0.13,-1.58,62.474464,6.461324
2021-11-08T23:56:02,7791,10.402,-0.0,-0.0,-0.0,3.35,94.8,9.62,9.62,-0.225,-0.14,-1.61,62.474464,6.461324
2021-11-09T00:56:02,7792,10.4,-0.0,-0.0,-0.0,3.7,94.53,9.58,9.58,-0.24,-0.13,-1.58,62.474464,6.461324
2021-11-09T01:56:02,7793,10.411,-0.0,-0.0,-0.0,3.84,94.43,9.62,9.62,-0.248,-0.13,-1.59,62.474464,6.461324
2021-11-09T02:56:02,7794,10.421,-0.0,-0.01,-0.0,3.74,94.34,9.6,9.6,-0.258,-0.13,-1.58,62.474464,6.461324
2021-11-09T03:56:02,7795,10.437,-0.0,-0.01,-0.0,3.79,94.28,9.6,9.6,-0.267,-0.13,-1.59,62.474464,6.461324
2021-11-09T04:56:02,7796,10.453,-0.0,-0.0,-0.0,3.68,94.26,9.57,9.57,-0.267,-0.13,-1.57,62.474464,6.461324
2021-11-09T05:56:02,7797,10.468,-0.0,-0.0,-0.0,4.04,94.11,9.55,9.55,-0.271,-0.14,-1.61,62.474464,6.461324
2021-11-09T06:56:02,7798,10.48,-0.0,-0.01,-0.0,3.88,94.11,9.6,9.6,-0.27,-0.13,-1.59,62.474464,6.461324
