Time;pH (SCADA);Temperature, C (SCADA)
2022-04-01T12:00:00;6.5;3.045277778
2022-04-01T13:00:00;6.5;3.034444444
2022-04-01T14:00:00;6.5;3.020833333
2022-04-01T15:00:00;6.5;3.043055556
2022-04-01T16:00:00;6.5;3.045277778
2022-04-01T17:00:00;6.5;3.048333333
2022-04-01T18:00:00;6.5;3.037777778
2022-04-01T19:00:00;6.5;3.034444444
2022-04-01T20:00:00;6.5;3.026666667
2022-04-01T21:00:00;6.5;3.038333333
2022-04-01T22:00:00;6.499722222;3.041666667
2022-04-01T23:00:00;6.5;3.0475
2022-04-02T00:00:00;6.5;3.043055556
2022-04-02T01:00:00;6.5;3.037222222
2022-04-02T02:00:00;6.5;3.0375
2022-04-02T03:00:00;6.5;3.053333333
2022-04-02T04:00:00;6.5;3.06
2022-04-02T05:00:00;6.5;3.083333333
2022-04-02T06:00:00;6.5;3.099444444
2022-04-02T07:00:00;6.5;3.1
2022-04-02T08:00:00;6.5;3.1
2022-04-02T09:00:00;6.5;3.1
2022-04-02T10:00:00;6.5;3.1
2022-04-02T11:00:00;6.5;3.1
2022-04-02T12:00:00;6.5;3.1
2022-04-02T13:00:00;6.5;3.1
2022-04-02T14:00:00;6.5;3.1
2022-04-02T15:00:00;6.5;3.1
2022-04-02T16:00:00;6.5;3.1
2022-04-02T17:00:00;6.5;3.1
2022-04-02T18:00:00;6.5;3.100277778
2022-04-02T19:00:00;6.5;3.100277778
2022-04-02T20:00:00;6.5;3.1
2022-04-02T21:00:00;6.5;3.1
2022-04-02T22:00:00;6.5;3.1
2022-04-02T23:00:00;6.499722222;3.100277778
2022-04-03T00:00:00;6.5;3.100277778
2022-04-03T01:00:00;6.5;3.100555556
2022-04-03T02:00:00;6.5;3.100277778
2022-04-03T03:00:00;6.5;3.1
2022-04-03T04:00:00;6.5;3.100277778
2022-04-03T05:00:00;6.5;3.1
2022-04-03T06:00:00;6.5;3.1
2022-04-03T07:00:00;6.5;3.100277778
2022-04-03T08:00:00;6.5;3.100277778
2022-04-03T09:00:00;6.499444444;3.101111111
2022-04-03T10:00:00;6.5;3.101388889
2022-04-03T11:00:00;6.5;3.100833333
2022-04-03T12:00:00;6.5;3.100833333
2022-04-03T13:00:00;6.5;3.101388889
2022-04-03T14:00:00;6.5;3.1
2022-04-03T15:00:00;6.5;3.100555556
2022-04-03T16:00:00;6.499166667;3.100555556
2022-04-03T17:00:00;6.5;3.1
2022-04-03T18:00:00;6.5;3.1
2022-04-03T19:00:00;6.5;3.1
2022-04-03T20:00:00;6.5;3.1
2022-04-03T21:00:00;6.5;3.1
2022-04-03T22:00:00;6.5;3.099166667
2022-04-03T23:00:00;6.5;3.098611111
2022-04-04T00:00:00;6.5;3.096388889
2022-04-04T01:00:00;6.5;3.097222222
2022-04-04T02:00:00;6.5;3.096666667
2022-04-04T03:00:00;6.5;3.098888889
2022-04-04T04:00:00;6.5;3.099166667
2022-04-04T05:00:00;6.5;3.099166667
2022-04-04T06:00:00;6.5;3.095277778
2022-04-04T07:00:00;6.5;3.098611111
2022-04-04T08:00:00;6.455555556;3.0975
2022-04-04T09:00:00;6.496666667;3.0975
2022-04-04T10:00:00;6.5;3.099444444
2022-04-04T11:00:00;6.5;3.099722222
2022-04-04T12:00:00;6.5;3.1
2022-04-04T13:00:00;6.5;3.099722222
2022-04-04T14:00:00;6.5;3.099722222
2022-04-04T15:00:00;6.5;3.1
2022-04-04T16:00:00;6.5;3.1
2022-04-04T17:00:00;6.5;3.1
2022-04-04T18:00:00;6.5;3.1
2022-04-04T19:00:00;6.5;3.1
2022-04-04T20:00:00;6.5;3.1
2022-04-04T21:00:00;6.5;3.1
2022-04-04T22:00:00;6.5;3.1
2022-04-04T23:00:00;6.5;3.1
2022-04-05T00:00:00;6.5;3.1
2022-04-05T01:00:00;6.5;3.1
2022-04-05T02:00:00;6.5;3.1
2022-04-05T03:00:00;6.5;3.1
2022-04-05T04:00:00;6.5;3.1
2022-04-05T05:00:00;6.5;3.1
2022-04-05T06:00:00;6.5;3.1
2022-04-05T07:00:00;6.5;3.1
2022-04-05T08:00:00;6.5;3.1
2022-04-05T09:00:00;6.5;3.1
2022-04-05T10:00:00;6.5;3.1
2022-04-05T11:00:00;6.5;3.100277778
2022-04-05T12:00:00;6.5;3.1
2022-04-05T13:00:00;6.5;3.1
2022-04-05T14:00:00;6.5;3.1
2022-04-05T15:00:00;6.5;3.1
2022-04-05T16:00:00;6.5;3.1
2022-04-05T17:00:00;6.5;3.1
2022-04-05T18:00:00;6.5;3.1
2022-04-05T19:00:00;6.5;3.1
2022-04-05T20:00:00;6.5;3.1
2022-04-05T21:00:00;6.5;3.100277778
2022-04-05T22:00:00;6.498611111;3.1
2022-04-05T23:00:00;6.5;3.1
2022-04-06T00:00:00;6.498611111;3.1
