Last Calibration Time,Calibration Start Time,Calibration End Time,Calibration Status,QC Score,Instrument Type,Instrument Name,Instrument Serial Number,Instrument Firmware Version,Parameter Type,Sensor Type,Sensor Serial Number,Sensor Firmware Version,User ID,DO Cap Serial Number,DO Cap Replacement Date,DO Gain,DO mg/L,Standard,Pre Calibration Value,Post Calibration Value,Raw Value,Temperature,Stability Achieved,Barometer,Timespan,Correction1,Before Value,After Value,Difference
2020-06-05 16:23:25,7/23/2020 2:57:46 PM,2020-07-23 15:15:52,CompletedWithWarnings,Warning,EXO2,Sonde 19G102539,19G102539,1.0.73,DO (% Sat),DO,19G101573,3.0.0,<Unknown>,19F102932,7/9/2019 2:51:37 PM,1.42,11.50 mg/L,100.0 % Sat,135.1,133.0,0.0 % Sat,22.551 °C,Yes,1010.0 mmHg,47 days 22:52:27,-2.0999999999999943,,,
2020-08-13 13:21:57,8/13/2020 1:27:46 PM,2020-08-13 13:31:24,CompletedWithWarnings,Warning,EXO2,Sonde 19G102539,19G102539,1.0.73,DO (% Sat),DO,19G101573,3.0.0,<Unknown>,19F102932,7/9/2019 2:51:37 PM,1.42,11.48 mg/L,100.0 % Sat,133.2,133.2,0.0 % Sat,22.688 °C,Yes,1012.0 mmHg,0 days 00:09:27,0.0,,,
2020-08-13 13:31:24,8/27/2020 1:23:10 PM,2020-08-27 13:23:36,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,DO (% Sat),DO,19G101573,3.0.0,<Unknown>,19F102932,7/9/2019 2:51:37 PM,1.05,9.77 mg/L,100.0 % Sat,134.4,99.3,0.0 % Sat,16.197 °C,Yes,755.0 mmHg,13 days 23:52:12,-35.10000000000001,,,
2020-08-27 13:23:36,9/15/2020 1:38:13 PM,2020-09-15 13:38:56,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,DO (% Sat),DO,19G101573,3.0.0,<Unknown>,19F102932,7/9/2019 2:51:37 PM,1.06,10.26 mg/L,100.0 % Sat,99.0,100.2,0.0 % Sat,14.270 °C,Yes,761.0 mmHg,19 days 00:15:20,1.2000000000000028,,,
2020-09-15 13:38:56,10/9/2020 3:13:53 PM,2020-10-09 15:15:12,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,DO (% Sat),DO,19G101573,3.0.0,<Unknown>,19F102932,7/9/2019 2:51:37 PM,1.04,10.69 mg/L,100.0 % Sat,99.9,98.3,0.0 % Sat,11.593 °C,Yes,747.0 mmHg,24 days 01:36:16,-1.6000000000000083,,,
2020-10-09 15:15:12,11/9/2020 2:16:52 PM,2020-11-09 14:27:12,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,DO (% Sat),DO,19G101573,3.0.0,<Unknown>,19F102932,7/9/2019 2:51:37 PM,1.05,9.20 mg/L,100.0 % Sat,101.0,101.3,0.0 % Sat,20.086 °C,Yes,770.0 mmHg,30 days 23:12:00,0.2999999999999971,,,
2020-11-09 14:27:12,12/8/2020 9:43:01 AM,2020-12-08 09:43:43,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,DO (% Sat),DO,19G101573,3.0.0,<Unknown>,19F102932,7/9/2019 2:51:37 PM,1.04,9.26 mg/L,100.0 % Sat,100.0,99.6,0.0 % Sat,18.873 °C,Yes,757.0 mmHg,28 days 19:16:31,-0.4000000000000057,,,
2020-12-08 09:43:43,2/24/2021 10:25:19 AM,2021-02-24 10:36:18,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,DO (% Sat),DO,19G101573,3.0.0,<Unknown>,19F102932,7/9/2019 2:51:37 PM,1.06,8.97 mg/L,100.0 % Sat,98.0,99.2,0.0 % Sat,20.253 °C,Yes,753.0 mmHg,78 days 00:52:35,1.2000000000000028,,,
2021-02-24 10:36:18,3/24/2021 10:13:25 AM,2021-03-24 10:23:50,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,DO (% Sat),DO,19G101573,3.0.0,<Unknown>,19F102932,7/9/2019 2:51:37 PM,1.17,8.94 mg/L,100.0 % Sat,89.0,98.9,0.0 % Sat,20.050 °C,Yes,752.0 mmHg,27 days 23:47:32,9.900000000000006,,,
2021-03-24 10:23:50,4/30/2021 10:13:10 AM,2021-04-30 10:25:45,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,DO (% Sat),DO,19G101573,3.0.0,<Unknown>,19F102932,7/9/2019 2:51:37 PM,1.09,9.30 mg/L,100.0 % Sat,108.6,100.5,0.0 % Sat,19.064 °C,Yes,763.0 mmHg,37 days 00:01:55,-8.099999999999994,,,
