Last Calibration Time,Calibration Start Time,Calibration End Time,Calibration Status,QC Score,Instrument Type,Instrument Name,Instrument Serial Number,Instrument Firmware Version,Parameter Type,Sensor Type,Sensor Serial Number,Sensor Firmware Version,User ID,Cell Constant,Standard,Pre Calibration Value,Post Calibration Value,Raw Value,Temperature,Stability Achieved,Timespan,Correction1,Before Value,After Value,Difference
2020-09-15 11:17:50,10/8/2020 2:06:25 PM,2020-10-08 14:09:58,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.47,1000.0 µS/cm,1069.2,1000.0,0.0 µS/cm,20.543 °C,Yes,23 days 02:52:08,-69.20000000000005,,,
2020-10-08 14:09:58,11/9/2020 2:13:14 PM,2020-11-09 14:14:59,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.47,1000.0 µS/cm,1003.2,1000.0,0.0 µS/cm,19.950 °C,Yes,32 days 00:05:01,-3.200000000000045,,,
2020-11-09 14:14:59,12/8/2020 9:23:40 AM,2020-12-08 09:26:25,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,993.4,1000.0,0.0 µS/cm,19.841 °C,Yes,28 days 19:11:26,6.600000000000023,,,
2020-12-08 09:26:25,2/24/2021 10:17:37 AM,2021-02-24 10:20:37,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,998.2,1000.0,0.0 µS/cm,19.948 °C,Yes,78 days 00:54:12,1.7999999999999543,,,
2021-02-24 10:20:37,3/24/2021 10:09:39 AM,2021-03-24 10:11:43,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,999.5,1000.0,0.0 µS/cm,19.889 °C,Yes,27 days 23:51:06,0.5,,,
2021-03-24 10:11:43,4/30/2021 10:26:41 AM,2021-04-30 10:28:52,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.47,1000.0 µS/cm,1004.7,1000.0,0.0 µS/cm,19.631 °C,Yes,37 days 00:17:09,-4.7000000000000455,,,
2021-04-30 10:28:52,6/3/2021 11:13:16 AM,2021-06-03 11:17:15,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,989.7,1000.0,0.0 µS/cm,20.186 °C,Yes,34 days 00:48:23,10.299999999999956,,,
2021-06-03 11:17:15,6/29/2021 11:57:19 AM,2021-06-29 11:59:24,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,1005.4,1000.0,0.0 µS/cm,20.106 °C,Yes,26 days 00:42:09,-5.399999999999977,,,
2021-06-29 11:59:24,8/16/2021 3:34:36 PM,2021-08-16 15:36:24,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,999.3,1000.0,0.0 µS/cm,20.319 °C,Yes,48 days 03:37:00,0.7000000000000455,,,
2021-08-16 15:36:24,10/26/2021 2:30:01 PM,2021-10-26 14:31:59,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.47,1000.0 µS/cm,1007.1,1000.0,0.0 µS/cm,19.275 °C,Yes,70 days 22:55:35,-7.100000000000023,,,
2021-10-26 14:31:59,3/24/2022 3:28:45 PM,2022-03-24 15:32:47,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,995.8,1000.0,0.0 µS/cm,20.341 °C,Yes,149 days 01:00:48,4.2000000000000455,,,
2022-03-24 15:32:47,4/22/2022 11:01:35 AM,2022-04-22 11:03:09,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.47,1000.0 µS/cm,1005.2,1000.0,0.0 µS/cm,19.942 °C,Yes,28 days 19:30:22,-5.2000000000000455,,,
2022-04-22 11:03:09,6/20/2022 1:18:50 PM,2022-06-20 13:21:10,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,990.6,1000.0,0.0 µS/cm,19.632 °C,Yes,59 days 02:18:01,9.399999999999975,,,
