Last Calibration Time,Calibration Start Time,Calibration End Time,Calibration Status,QC Score,Instrument Type,Instrument Name,Instrument Serial Number,Instrument Firmware Version,Parameter Type,Sensor Type,Sensor Serial Number,Sensor Firmware Version,User ID,Standard,Pre Calibration Value,Post Calibration Value,Raw Value,Temperature,Stability Achieved,Standard 2,Pre Calibration Value 2,Post Calibration Value 2,Raw Value 2,Temperature 2,Stability Achieved 2,Timespan,Correction1,Correction2,Before Value,After Value,Difference
2020-06-05 15:04:10,7/23/2020 2:06:10 PM,2020-07-23 14:12:07,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Turbidity (FNU),Turbidity,19G100122,3.0.0,<Unknown>,0.00 FNU,1.73,0.0,0.00 FNU,22.544 °C,Yes,124.00 FNU,126.41,124.0,0.00 FNU,22.553 °C,Yes,47 days 23:07:57,-1.73,-2.4099999999999966,,,
2020-07-23 14:12:07,8/13/2020 12:52:08 PM,2020-08-13 13:00:19,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Turbidity (FNU),Turbidity,19G100122,3.0.0,<Unknown>,0.00 FNU,-0.86,0.0,0.00 FNU,22.437 °C,Yes,124.00 FNU,123.15,124.0,0.00 FNU,22.555 °C,Yes,20 days 22:48:12,0.86,0.8499999999999943,,,
2020-08-13 13:00:19,9/15/2020 11:09:10 AM,2020-09-15 11:14:30,Completed,Warning,EXO2,Sonde 19G102539,19G102539,1.0.73,Turbidity (FNU),Turbidity,19G100122,3.0.0,<Unknown>,0.00 FNU,1.25,0.0,0.00 FNU,22.162 °C,Yes,12.40 FNU,14.01,12.4,0.00 FNU,22.327 °C,Yes,32 days 22:14:11,-1.25,-1.6099999999999994,,,
2020-09-15 11:14:30,10/8/2020 1:49:40 PM,2020-10-08 13:57:20,Completed,Warning,EXO2,Sonde 19G102539,19G102539,1.0.73,Turbidity (FNU),Turbidity,19G100122,3.0.0,<Unknown>,0.00 FNU,-1.13,0.0,0.00 FNU,21.288 °C,Yes,12.40 FNU,10.36,12.4,0.00 FNU,20.812 °C,Yes,23 days 02:42:50,1.13,2.040000000000001,,,
2020-10-08 13:57:20,11/9/2020 12:37:56 PM,2020-11-09 12:42:04,Completed,Warning,EXO2,Sonde 19G102539,19G102539,1.0.73,Turbidity (FNU),Turbidity,19G100122,3.0.0,<Unknown>,0.00 FNU,-0.3,0.0,0.00 FNU,21.270 °C,Yes,12.40 FNU,12.84,12.4,0.00 FNU,20.809 °C,Yes,31 days 22:44:44,0.3,-0.4399999999999995,,,
2020-11-09 12:42:04,12/8/2020 9:14:21 AM,2020-12-08 09:22:23,Completed,Warning,EXO2,Sonde 19G102539,19G102539,1.0.73,Turbidity (FNU),Turbidity,19G100122,3.0.0,<Unknown>,0.00 FNU,-0.77,0.0,0.00 FNU,20.910 °C,Yes,12.40 FNU,11.03,12.4,0.00 FNU,20.623 °C,Yes,28 days 20:40:19,0.77,1.370000000000001,,,
2020-12-08 09:22:23,2/24/2021 10:46:26 AM,2021-02-24 10:50:48,Completed,Warning,EXO2,Sonde 19G102539,19G102539,1.0.73,Turbidity (FNU),Turbidity,19G100122,3.0.0,<Unknown>,0.00 FNU,0.17,0.0,0.00 FNU,19.524 °C,Yes,12.40 FNU,12.65,12.4,0.00 FNU,20.607 °C,Yes,78 days 01:28:25,-0.17,-0.25,,,
2021-02-24 10:50:48,3/24/2021 10:46:21 AM,2021-03-24 10:52:50,Completed,Warning,EXO2,Sonde 19G102539,19G102539,1.0.73,Turbidity (FNU),Turbidity,19G100122,3.0.0,<Unknown>,0.00 FNU,3.11,0.0,0.00 FNU,20.179 °C,Yes,12.40 FNU,41.04,12.4,0.00 FNU,20.592 °C,Yes,28 days 00:02:02,-3.11,-28.64,,,
2021-03-24 10:52:50,4/30/2021 10:46:27 AM,2021-04-30 10:55:33,Completed,Warning,EXO2,Sonde 19G102539,19G102539,1.0.73,Turbidity (FNU),Turbidity,19G100122,3.0.0,<Unknown>,0.00 FNU,-0.33,0.0,0.00 FNU,18.964 °C,Yes,12.40 FNU,3.35,12.4,0.00 FNU,20.149 °C,Yes,37 days 00:02:43,0.33,9.05,,,
2021-04-30 10:55:33,6/3/2021 11:51:50 AM,2021-06-03 12:02:16,CompletedWithWarnings,Bad,EXO2,Sonde 19G102539,19G102539,1.0.73,Turbidity (FNU),Turbidity,19G100122,3.0.0,<Unknown>,0.00 FNU,17.55,0.0,0.00 FNU,20.119 °C,Yes,12.40 FNU,18.19,12.4,0.00 FNU,20.377 °C,Yes,34 days 01:06:43,-17.55,-5.790000000000001,,,
