Last Calibration Time,Calibration Start Time,Calibration End Time,Calibration Status,QC Score,Instrument Type,Instrument Name,Instrument Serial Number,Instrument Firmware Version,Parameter Type,Sensor Type,Sensor Serial Number,Sensor Firmware Version,User ID,Standard,Pre Calibration Value,Post Calibration Value,Raw Value,Temperature,Stability Achieved,Standard 2,Pre Calibration Value 2,Post Calibration Value 2,Raw Value 2,Temperature 2,Stability Achieved 2,Timespan,Correction1,Correction2,Before Value,After Value,Difference
2020-06-05 17:09:38,7/23/2020 3:54:11 PM,2020-07-23 15:58:40,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (RFU),fDOM,19F100722,3.0.0,<Unknown>,0.00 RFU,-0.31,0.0,0.00 RFU,22.857 °C,Yes,100.00 RFU,123.66,100.0,0.00 RFU,22.297 °C,Yes,47 days 22:49:02,0.31,-23.66,,,
2020-07-23 15:58:40,8/13/2020 1:58:14 PM,2020-08-13 14:05:39,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (RFU),fDOM,19F100722,3.0.0,<Unknown>,0.00 RFU,0.03,0.0,0.00 RFU,22.352 °C,Yes,100.00 RFU,99.88,100.0,0.00 RFU,21.858 °C,Yes,20 days 22:06:59,-0.03,0.1200000000000045,,,
2020-08-13 14:05:39,9/15/2020 11:32:55 AM,2020-09-15 11:37:11,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (RFU),fDOM,19F100722,3.0.0,<Unknown>,0.00 RFU,-0.04,0.0,0.00 RFU,21.478 °C,Yes,100.00 RFU,103.82,100.0,0.00 RFU,21.206 °C,Yes,32 days 21:31:32,0.04,-3.819999999999993,,,
2020-09-15 11:37:11,10/8/2020 2:51:10 PM,2020-10-08 14:53:25,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (RFU),fDOM,19F100722,3.0.0,<Unknown>,0.00 RFU,0.02,0.0,0.00 RFU,20.808 °C,Yes,100.00 RFU,104.13,100.0,0.00 RFU,20.105 °C,Yes,23 days 03:16:14,-0.02,-4.129999999999996,,,
2020-10-08 14:53:25,11/9/2020 2:41:29 PM,2020-11-09 14:46:09,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (RFU),fDOM,19F100722,3.0.0,<Unknown>,0.00 RFU,-0.02,0.0,0.00 RFU,20.458 °C,Yes,100.00 RFU,82.96,100.0,0.00 RFU,19.646 °C,Yes,31 days 23:52:44,0.02,17.040000000000006,,,
2020-11-09 14:46:09,12/8/2020 10:01:17 AM,2020-12-08 10:02:58,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (RFU),fDOM,19F100722,3.0.0,<Unknown>,0.00 RFU,-0.01,0.0,0.00 RFU,20.383 °C,Yes,100.00 RFU,112.74,100.0,0.00 RFU,19.142 °C,Yes,28 days 19:16:49,0.01,-12.739999999999997,,,
2020-12-08 10:02:58,2/24/2021 11:12:59 AM,2021-02-24 11:15:15,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (RFU),fDOM,19F100722,3.0.0,<Unknown>,0.00 RFU,0.2,0.0,0.00 RFU,18.639 °C,Yes,100.00 RFU,98.51,100.0,0.00 RFU,19.070 °C,Yes,78 days 01:12:17,-0.2,1.4899999999999949,,,
2021-02-24 11:15:15,3/24/2021 11:09:33 AM,2021-03-24 11:12:11,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (RFU),fDOM,19F100722,3.0.0,<Unknown>,0.00 RFU,-0.19,0.0,0.00 RFU,19.942 °C,Yes,100.00 RFU,96.82,100.0,0.00 RFU,19.403 °C,Yes,27 days 23:56:56,0.19,3.180000000000007,,,
2021-03-24 11:12:11,4/30/2021 11:19:56 AM,2021-04-30 11:22:30,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (RFU),fDOM,19F100722,3.0.0,<Unknown>,0.00 RFU,0.13,0.0,0.00 RFU,17.976 °C,Yes,100.00 RFU,111.11,100.0,0.00 RFU,18.961 °C,Yes,37 days 00:10:19,-0.13,-11.11,,,
2021-04-30 11:22:30,6/3/2021 12:28:40 PM,2021-06-03 12:30:53,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (RFU),fDOM,19F100722,3.0.0,<Unknown>,0.00 RFU,0.02,0.0,0.00 RFU,19.171 °C,Yes,100.00 RFU,94.84,100.0,0.00 RFU,19.849 °C,Yes,34 days 01:08:23,-0.02,5.159999999999997,,,
2021-06-03 12:30:53,6/29/2021 1:01:55 PM,2021-06-29 13:04:42,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (RFU),fDOM,19F100722,3.0.0,<Unknown>,0.00 RFU,-0.06,0.0,0.00 RFU,20.080 °C,Yes,100.00 RFU,103.66,100.0,0.00 RFU,20.058 °C,Yes,26 days 00:33:49,0.06,-3.6599999999999966,,,
2021-06-29 13:04:42,8/16/2021 4:14:05 PM,2021-08-16 16:20:49,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (RFU),fDOM,19F100722,3.0.0,<Unknown>,0.00 RFU,0.29,0.0,0.00 RFU,19.229 °C,Yes,100.00 RFU,94.0,100.0,0.00 RFU,19.915 °C,Yes,48 days 03:16:07,-0.29,6.0,,,
2021-08-16 16:20:49,10/26/2021 3:39:00 PM,2021-10-26 15:46:12,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (RFU),fDOM,19F100722,3.0.0,<Unknown>,0.00 RFU,-0.41,0.0,0.00 RFU,19.137 °C,Yes,100.00 RFU,103.98,100.0,0.00 RFU,19.328 °C,Yes,70 days 23:25:23,0.41,-3.980000000000004,,,
2021-10-26 15:46:12,3/24/2022 4:26:38 PM,2022-03-24 16:30:56,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (RFU),fDOM,19F100722,3.0.0,<Unknown>,0.00 RFU,0.03,0.0,0.00 RFU,17.850 °C,Yes,100.00 RFU,103.12,100.0,0.00 RFU,19.386 °C,Yes,149 days 00:44:44,-0.03,-3.1200000000000045,,,
2022-03-24 16:30:56,4/22/2022 11:50:41 AM,2022-04-22 11:54:43,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (RFU),fDOM,19F100722,3.0.0,<Unknown>,0.00 RFU,-0.08,0.0,0.00 RFU,18.573 °C,Yes,100.00 RFU,95.95,100.0,0.00 RFU,19.435 °C,Yes,28 days 19:23:47,0.08,4.049999999999997,,,
2022-04-22 11:54:43,6/20/2022 2:05:47 PM,2022-06-20 14:11:06,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (RFU),fDOM,19F100722,3.0.0,<Unknown>,0.00 RFU,0.13,0.0,0.00 RFU,18.823 °C,Yes,100.00 RFU,91.47,100.0,0.00 RFU,19.657 °C,Yes,59 days 02:16:23,-0.13,8.530000000000001,,,
2022-06-20 14:11:06,9/21/2022 3:20:44 PM,2022-09-21 15:23:45,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (RFU),fDOM,19F100722,3.0.0,<Unknown>,0.00 RFU,0.13,0.0,0.00 RFU,19.271 °C,Yes,100.00 RFU,104.44,100.0,0.00 RFU,19.680 °C,Yes,93 days 01:12:39,-0.13,-4.439999999999998,8.46,8.04,-0.4200000000000017
2022-09-21 15:23:45,11/2/2022 1:12:52 PM,2022-11-02 13:17:25,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (RFU),fDOM,19F100722,3.0.0,<Unknown>,0.00 RFU,-0.29,0.0,0.00 RFU,18.869 °C,Yes,100.00 RFU,102.39,100.0,0.00 RFU,19.625 °C,Yes,41 days 21:53:40,0.29,-2.390000000000001,,,
