Last Calibration Time,Calibration Start Time,Calibration End Time,Calibration Status,QC Score,Instrument Type,Instrument Name,Instrument Serial Number,Instrument Firmware Version,Parameter Type,Sensor Type,Sensor Serial Number,Sensor Firmware Version,User ID,Standard,Pre Calibration Value,Post Calibration Value,Raw Value,Temperature,Stability Achieved,Standard 2,Pre Calibration Value 2,Post Calibration Value 2,Raw Value 2,Temperature 2,Stability Achieved 2,Timespan,Correction1,Correction2
2020-06-05 17:04:29,7/23/2020 3:45:45 PM,2020-07-23 15:51:13,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,-0.9,0.0,0.00 QSU,22.835 °C,Yes,300.00 QSU,332.65,300.0,0.00 QSU,22.293 °C,Yes,47 days 22:46:44,0.9,-32.64999999999998
2020-07-23 15:51:13,8/13/2020 2:08:12 PM,2020-08-13 14:11:36,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,0.02,0.0,0.00 QSU,22.395 °C,Yes,300.00 QSU,307.08,300.0,0.00 QSU,21.857 °C,Yes,20 days 22:20:23,-0.02,-7.079999999999984
2020-08-13 14:11:36,9/15/2020 11:38:28 AM,2020-09-15 11:40:37,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,-0.21,0.0,0.00 QSU,21.284 °C,Yes,300.00 QSU,289.54,300.0,0.00 QSU,21.320 °C,Yes,32 days 21:29:01,0.21,10.45999999999998
2020-09-15 11:40:37,10/8/2020 2:42:44 PM,2020-10-08 14:48:45,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,1.59,0.0,0.00 QSU,20.934 °C,Yes,300.00 QSU,320.02,300.0,0.00 QSU,20.195 °C,Yes,23 days 03:08:08,-1.59,-20.019999999999982
2020-10-08 14:48:45,11/9/2020 2:46:20 PM,2020-11-09 14:50:07,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,-0.94,-0.01,0.00 QSU,19.287 °C,Yes,300.00 QSU,246.11,300.0,0.00 QSU,19.340 °C,Yes,32 days 00:01:22,0.9299999999999999,53.889999999999986
2020-11-09 14:50:07,12/8/2020 10:40:55 AM,2020-12-08 10:42:34,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,-0.51,0.0,0.00 QSU,19.827 °C,Yes,300.00 QSU,358.74,300.0,0.00 QSU,19.162 °C,Yes,28 days 19:52:27,0.51,-58.74000000000001
2020-12-08 10:42:34,2/24/2021 11:08:17 AM,2021-02-24 11:10:41,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,-0.13,0.0,0.00 QSU,18.724 °C,Yes,300.00 QSU,281.95,300.0,0.00 QSU,19.050 °C,Yes,78 days 00:28:07,0.13,18.05000000000001
2021-02-24 11:10:41,3/24/2021 11:04:04 AM,2021-03-24 11:08:36,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,-0.16,0.0,0.00 QSU,19.860 °C,Yes,300.00 QSU,276.23,300.0,0.00 QSU,18.726 °C,Yes,27 days 23:57:55,0.16,23.769999999999982
2021-03-24 11:08:36,4/30/2021 11:24:20 AM,2021-04-30 11:26:18,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,1.08,0.0,0.00 QSU,18.694 °C,Yes,300.00 QSU,347.05,300.0,0.00 QSU,19.170 °C,Yes,37 days 00:17:42,-1.08,-47.05000000000001
2021-04-30 11:26:18,6/3/2021 12:33:21 PM,2021-06-03 12:35:28,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,-0.24,0.0,0.00 QSU,19.002 °C,Yes,300.00 QSU,291.67,300.0,0.00 QSU,19.835 °C,Yes,34 days 01:09:10,0.24,8.329999999999984
2021-06-03 12:35:28,6/29/2021 1:06:38 PM,2021-06-29 13:13:26,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,1.52,0.0,0.00 QSU,19.700 °C,Yes,300.00 QSU,309.55,300.0,0.00 QSU,19.912 °C,Yes,26 days 00:37:58,-1.52,-9.550000000000011
2021-06-29 13:13:26,8/16/2021 4:08:47 PM,2021-08-16 16:13:49,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,-1.21,0.0,0.00 QSU,20.047 °C,Yes,300.00 QSU,271.06,300.0,0.00 QSU,20.115 °C,Yes,48 days 03:00:23,1.21,28.939999999999998
2021-08-16 16:13:49,10/26/2021 3:48:42 PM,2021-10-26 15:51:16,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,0.35,0.0,0.00 QSU,18.231 °C,Yes,300.00 QSU,324.13,300.0,0.00 QSU,19.149 °C,Yes,70 days 23:37:27,-0.35,-24.129999999999995
2021-10-26 15:51:16,3/24/2022 4:21:29 PM,2022-03-24 16:26:29,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,-1.24,0.0,0.00 QSU,18.483 °C,Yes,300.00 QSU,312.04,300.0,0.00 QSU,19.620 °C,Yes,149 days 00:35:13,1.24,-12.04000000000002
2022-03-24 16:26:29,6/20/2022 2:11:17 PM,2022-06-20 14:16:01,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,0.67,0.0,0.00 QSU,18.466 °C,Yes,300.00 QSU,289.34,300.0,0.00 QSU,19.639 °C,Yes,87 days 21:49:32,-0.67,10.660000000000025
2022-06-20 14:16:01,9/21/2022 3:23:54 PM,2022-09-21 15:28:43,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,1.05,0.0,0.00 QSU,18.511 °C,Yes,300.00 QSU,281.13,300.0,0.00 QSU,19.579 °C,Yes,93 days 01:12:42,-1.05,18.870000000000005
2022-09-21 15:28:43,11/2/2022 1:17:53 PM,2022-11-02 13:22:32,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,-1.82,0.0,0.00 QSU,18.782 °C,Yes,300.00 QSU,334.72,300.0,0.00 QSU,19.612 °C,Yes,41 days 21:53:49,1.82,-34.72000000000003
2022-11-02 13:22:32,4/13/2023 3:58:55 PM,2023-04-13 16:01:29,Completed,Warning,EXO2,Sonde 19G102539,19G102539,1.0.86,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,0.56,0.0,0.00 QSU,21.130 °C,Yes,300.00 QSU,217.59,300.0,0.00 QSU,19.956 °C,Yes,162 days 02:38:57,-0.56,82.41
2023-04-13 16:01:29,5/23/2023 11:02:44 AM,2023-05-23 11:06:24,CompletedWithWarnings,Bad,EXO2,Sonde 19G102539,19G102539,1.0.86,fDOM (QSU),fDOM,19F100722,3.0.0,<Unknown>,0.00 QSU,-0.63,0.0,0.00 QSU,18.959 °C,Yes,300.00 QSU,239.33,299.99,0.00 QSU,19.750 °C,Yes,39 days 19:04:55,0.63,60.66
