Last Calibration Time,Calibration Start Time,Calibration End Time,Calibration Status,QC Score,Instrument Type,Instrument Name,Instrument Serial Number,Instrument Firmware Version,Parameter Type,Sensor Type,Sensor Serial Number,Sensor Firmware Version,User ID,Sensor Module Replacement Date,pH Range 4.00-7.00 Delta Slope,pH Range 4.00-7.00 mV per Decade,pH Range 7.00-10.00 Delta Slope,pH Range 7.00-10.00 mV per Decade,Standard,Pre Calibration Value,Post Calibration Value,Raw Value,Temperature,Stability Achieved,Standard 2,Pre Calibration Value 2,Post Calibration Value 2,Raw Value 2,Temperature 2,Stability Achieved 2,Standard 3,Pre Calibration Value 3,Post Calibration Value 3,Raw Value 3,Temperature 3,Stability Achieved 3,pH Range 4.00-7.02 Delta Slope,pH Range 4.00-7.02 mV per Decade,pH Range 7.02-10.06 Delta Slope,pH Range 7.02-10.06 mV per Decade,pH Range 7.02-10.03 Delta Slope,pH Range 7.02-10.03 mV per Decade,Timespan,Correction1,Correction2,Correction3
2020-06-05 15:31:52,7/23/2020 2:18:25 PM,2020-07-23 14:37:20,CompletedWithWarnings,Bad,EXO2,Sonde 19G102539,19G102539,1.0.73,pH,pH,19G103267,3.0.0,<Unknown>,<Unknown>,,,,,7.02 pH,-3.65,7.02,607.2 mV,22.712 °C,Yes,4.00 pH,-3.65,,607.2 mV,22.809 °C,Yes,10.03 pH,-3.66,,607.2 mV,22.634 °C,Yes,0.0 mV,0.00,,,0.0 mV,0.00,47 days 23:05:28,10.67,,
2020-09-15 10:07:41,9/15/2020 10:16:03 AM,2020-09-15 10:35:45,CompletedWithWarnings,Bad,EXO2,Sonde 19G102539,19G102539,1.0.73,pH,pH,19G103267,3.0.0,<Unknown>,9/15/2020 12:00:00 AM,154.2 mV,51.39,243.7 mV,81.22,7.00 pH,8.28,7.0,370.7 mV,21.741 °C,Yes,4.00 pH,6.47,4.0,524.8 mV,22.014 °C,Yes,10.00 pH,11.14,10.17,127.0 mV,22.016 °C,Yes,,,,,,,0 days 00:28:04,-1.2799999999999994,-2.4699999999999998,-0.9700000000000006
,3/24/2021 9:53:13 AM,2021-03-24 10:06:29,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,pH,pH,21B101596,3.0.0,<Unknown>,<Unknown>,173.1 mV,57.70,175.9 mV,58.64,7.00 pH,7.09,7.0,-5.3 mV,19.989 °C,Yes,4.00 pH,4.11,4.0,167.8 mV,20.038 °C,Yes,10.00 pH,10.12,10.01,-181.3 mV,19.951 °C,Yes,,,,,,,,-0.08999999999999986,-0.11000000000000032,-0.10999999999999943
2021-03-24 10:06:29,4/30/2021 10:00:33 AM,2021-04-30 10:10:11,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,pH,pH,21B101596,3.0.0,<Unknown>,3/24/2021 12:00:00 AM,,,,,7.02 pH,7.14,7.02,-14.6 mV,18.480 °C,Yes,4.00 pH,4.1,4.0,162.1 mV,19.555 °C,Yes,10.03 pH,10.09,10.02,-186.0 mV,19.746 °C,Yes,176.7 mV,58.49,,,171.4 mV,56.94,37 days 00:03:42,-0.1200000000000001,-0.09999999999999964,-0.07000000000000028
2021-04-30 10:10:11,6/3/2021 11:31:58 AM,2021-06-03 11:43:03,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,pH,pH,21B101596,3.0.0,<Unknown>,3/24/2021 12:00:00 AM,,,,,7.02 pH,7.08,7.02,-16.3 mV,20.191 °C,Yes,4.00 pH,4.13,4.0,154.3 mV,20.252 °C,Yes,10.03 pH,10.18,10.06,-195.5 mV,20.203 °C,Yes,170.6 mV,56.50,,,179.2 mV,59.54,34 days 01:32:52,-0.0600000000000005,-0.1299999999999999,-0.11999999999999922
2021-06-03 11:43:03,6/29/2021 11:50:43 AM,2021-06-29 11:56:08,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,pH,pH,21B101596,3.0.0,<Unknown>,3/24/2021 12:00:00 AM,,,,,7.02 pH,6.97,7.02,-16.7 mV,19.506 °C,Yes,4.00 pH,4.02,4.0,154.6 mV,19.933 °C,Yes,10.03 pH,10.07,10.05,-196.4 mV,20.080 °C,Yes,171.3 mV,56.72,,,179.7 mV,59.69,26 days 00:13:05,0.04999999999999982,-0.019999999999999574,-0.019999999999999574
2021-06-29 11:56:08,8/16/2021 3:26:32 PM,2021-08-16 15:32:47,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,pH,pH,21B101596,3.0.0,<Unknown>,3/24/2021 12:00:00 AM,,,,,7.02 pH,6.93,7.02,-14.4 mV,21.370 °C,Yes,4.00 pH,4.02,4.0,155.5 mV,20.442 °C,Yes,10.03 pH,10.03,10.06,-194.9 mV,20.346 °C,Yes,169.9 mV,56.25,,,180.5 mV,59.98,48 days 03:36:39,0.08999999999999986,-0.019999999999999574,0.030000000000001137
2021-08-16 15:32:47,10/26/2021 2:07:36 PM,2021-10-26 14:24:29,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,pH,pH,21B101596,3.0.0,<Unknown>,3/24/2021 12:00:00 AM,,,,,7.02 pH,7.08,7.02,-21.4 mV,19.126 °C,Yes,4.00 pH,4.11,4.0,150.8 mV,19.750 °C,Yes,10.06 pH,10.14,10.07,-198.8 mV,19.559 °C,Yes,172.2 mV,57.02,177.4 mV,58.35,,,70 days 22:51:42,-0.0600000000000005,-0.11000000000000032,-0.07000000000000028
2021-10-26 14:24:29,3/24/2022 3:34:40 PM,2022-03-24 15:43:05,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,pH,pH,21B101596,3.0.0,<Unknown>,3/24/2021 12:00:00 AM,,,,,7.02 pH,6.78,7.02,-8.9 mV,20.105 °C,Yes,4.00 pH,3.76,4.0,165.5 mV,20.160 °C,Yes,10.06 pH,9.77,10.05,-181.5 mV,20.160 °C,Yes,174.5 mV,57.77,172.6 mV,56.77,,,149 days 01:18:36,0.23999999999999932,0.2400000000000002,0.28000000000000114
2022-03-24 15:43:05,4/22/2022 10:52:39 AM,2022-04-22 10:59:18,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,pH,pH,21B101596,3.0.0,<Unknown>,3/24/2021 12:00:00 AM,,,,,7.02 pH,7.04,7.02,-9.3 mV,20.079 °C,Yes,4.00 pH,3.99,4.0,165.7 mV,20.054 °C,Yes,10.06 pH,10.16,10.07,-187.9 mV,19.943 °C,Yes,175.0 mV,57.96,178.6 mV,58.73,,,28 days 19:16:13,-0.020000000000000462,0.009999999999999787,-0.08999999999999986
2022-04-22 10:59:18,6/20/2022 1:10:23 PM,2022-06-20 13:17:36,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,pH,pH,21B101596,3.0.0,<Unknown>,3/24/2021 12:00:00 AM,,,,,7.02 pH,7.17,7.02,-18.8 mV,19.766 °C,Yes,4.00 pH,4.15,4.0,157.3 mV,19.961 °C,Yes,10.06 pH,10.23,10.06,-197.4 mV,19.618 °C,Yes,176.1 mV,58.30,178.6 mV,58.75,,,59 days 02:18:18,-0.15000000000000036,-0.15000000000000036,-0.16999999999999993
2022-06-20 13:17:36,9/21/2022 2:41:40 PM,2022-09-21 14:53:04,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,pH,pH,21B101596,3.0.0,<Unknown>,3/24/2021 12:00:00 AM,,,,,7.02 pH,7.22,7.02,-31.0 mV,19.749 °C,Yes,4.00 pH,4.15,4.0,148.5 mV,19.882 °C,Yes,10.06 pH,10.21,10.04,-206.1 mV,19.813 °C,Yes,179.5 mV,59.44,175.1 mV,57.60,,,93 days 01:35:28,-0.20000000000000018,-0.15000000000000036,-0.1700000000000017
2022-09-21 14:53:04,11/2/2022 12:28:02 PM,2022-11-02 12:36:02,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,pH,pH,21B101596,3.0.0,<Unknown>,3/24/2021 12:00:00 AM,,,,,7.02 pH,7.11,7.02,-34.2 mV,20.125 °C,Yes,4.00 pH,4.05,4.0,144.5 mV,19.955 °C,Yes,10.06 pH,10.1,10.05,-209.1 mV,19.622 °C,Yes,178.7 mV,59.17,174.8 mV,57.51,,,41 days 21:42:58,-0.09000000000000075,-0.04999999999999982,-0.049999999999998934
2022-11-02 12:36:02,4/13/2023 4:27:42 PM,2023-04-13 16:38:35,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,pH,pH,21B101596,3.0.0,<Unknown>,3/24/2021 12:00:00 AM,,,,,7.02 pH,6.9,7.02,-25.5 mV,20.817 °C,Yes,4.00 pH,4.0,4.0,144.3 mV,20.937 °C,Yes,10.06 pH,9.96,10.08,-205.4 mV,21.757 °C,Yes,169.7 mV,56.19,179.9 mV,59.19,,,162 days 04:02:33,0.11999999999999922,0.0,0.11999999999999922
2023-04-13 16:38:35,5/23/2023 10:13:51 AM,2023-05-23 10:27:02,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,pH,pH,21B101596,3.0.0,<Unknown>,3/24/2021 12:00:00 AM,,,,,7.02 pH,7.04,7.02,-29.7 mV,20.576 °C,Yes,4.00 pH,4.11,4.0,139.1 mV,20.853 °C,Yes,10.06 pH,10.16,10.09,-208.7 mV,20.383 °C,Yes,168.8 mV,55.89,179.1 mV,58.90,,,39 days 17:48:27,-0.020000000000000462,-0.11000000000000032,-0.07000000000000028
