Param_nor,Param_eng,Upper,Lower,Type
01-Farge,Color,20,,Recommended_grenseverdier
04-Turbiditet,Turbidity (FNU),1,,Recommended_grenseverdier
06-E.coli,E.coli (CFU/100mL),0,,Grenseverdier
07-Intestinale enterokokker,Intestinal enterococci (CFU/100mL),0,,Grenseverdier
08-Kimtall 22°C,Colony Count 22°C,100,,Action_limit
09-Koliforme bakterier 37°C,Total coliforms 37°C (CFU/100mL),0,,Action_limit
21-Arsen,Arsenic (µg/L),10,,Grenseverdier
24-Bly,Lead (µg/L),10,,Grenseverdier
32-Kadmium,Cadmium (µg/L),5,,Grenseverdier
36-Kopper filtrert,Copper filtered (mg/L),2,,Grenseverdier
37-Krom,Chromium (µg/L),50,,Grenseverdier
41-Nikkel,Nickel (µg/L),20,,Grenseverdier
Sink (Zn),Zinc (µg/L),11,,Godt_Klassifering
"44-pH, surhetsgrad",pH,9.5,6.5,Action_limit
