Time;01-Farge;04-Turbiditet;06-E.coli;07-Intestinale enterokokker;08-Kimtall 22°C;09-Koliforme bakterier 37°C;21-Arsen;24-Bly;32-Kadmium;36-Kopper filtrert;37-Krom;41-Nikkel;Sink (Zn)
2022-01-04T12:00:00;#N/A;#N/A;0;#N/A;76;9;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-01-10T12:00:00;11;0.37;0;0;#N/A;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-01-17T12:00:00;#N/A;#N/A;1;#N/A;83;16;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-01-24T12:00:00;#N/A;#N/A;0;#N/A;100;26;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-01-31T12:00:00;#N/A;#N/A;0;#N/A;67;11;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-02-07T12:00:00;12;0.19;0;0;#N/A;13;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-02-14T12:00:00;#N/A;#N/A;0;#N/A;45;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-02-21T12:00:00;#N/A;#N/A;0;#N/A;25;6;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-02-28T12:00:00;#N/A;#N/A;0;#N/A;66;1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-03-07T12:00:00;10;0.05;0;0;#N/A;8;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-03-14T12:00:00;#N/A;#N/A;0;#N/A;21;2;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-03-22T12:00:00;#N/A;#N/A;0;#N/A;17;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-03-28T12:00:00;#N/A;#N/A;0;#N/A;8;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-04-04T12:00:00;11;0.05;0;0;#N/A;2;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-04-11T12:00:00;#N/A;#N/A;0;#N/A;#N/A;3;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-04-19T12:00:00;#N/A;#N/A;0;#N/A;35;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-04-25T12:00:00;#N/A;#N/A;0;#N/A;28;2;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-05-02T12:00:00;10;0.66;0;0;#N/A;1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-05-09T12:00:00;#N/A;#N/A;0;#N/A;30;1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-05-18T12:00:00;#N/A;#N/A;0;#N/A;19;1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-05-23T12:00:00;#N/A;#N/A;0;#N/A;29;1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-06-01T12:00:00;10;0.5;0;0;#N/A;3;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-06-07T12:00:00;#N/A;#N/A;0;#N/A;17;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-06-13T12:00:00;#N/A;#N/A;2;#N/A;60;6;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-06-20T12:00:00;#N/A;#N/A;1;#N/A;51;1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-06-27T12:00:00;#N/A;#N/A;0;0;#N/A;2;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-07-04T12:00:00;#N/A;#N/A;0;#N/A;15;2;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-07-18T12:00:00;#N/A;#N/A;0;#N/A;30;1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-07-25T12:00:00;11;0.05;0;0;#N/A;2;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-08-01T12:00:00;10;0.2;0;0;#N/A;2;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-08-08T12:00:00;#N/A;#N/A;1;#N/A;34;1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2022-08-15T12:00:00;#N/A;#N/A;1;#N/A;36;1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
