Last Calibration Time,Calibration Start Time,Calibration End Time,Calibration Status,Standard,Pre Calibration Value,Post Calibration Value,Raw Value,Temperature,Timespan,Correction1,Before Value,After Value,Difference
2020-06-05 16:23:25,2020-07-23 14:57:46,2020-07-23 15:15:52,CompletedWithWarnings,100.0 % Sat,135.1,133.0,0.0 % Sat,22.551 °C,47 days 22:52:27,-2.0999999999999943,138.58,131.48,-7.100000000000023
2020-08-13 13:21:57,2020-08-13 13:27:46,2020-08-13 13:31:24,CompletedWithWarnings,100.0 % Sat,133.2,133.2,0.0 % Sat,22.688 °C,0 days 00:09:27,0.0,,,
2020-08-13 13:31:24,2020-08-27 13:23:10,2020-08-27 13:23:36,Completed,100.0 % Sat,134.4,99.3,0.0 % Sat,16.197 °C,13 days 23:52:12,-35.10000000000001,116.87,99.34,-17.53
2020-08-27 13:23:36,2020-09-15 13:38:13,2020-09-15 13:38:56,Completed,100.0 % Sat,99.0,100.2,0.0 % Sat,14.270 °C,19 days 00:15:20,1.2000000000000028,,,
2020-09-15 13:38:56,2020-10-09 15:13:53,2020-10-09 15:15:12,Completed,100.0 % Sat,99.9,98.3,0.0 % Sat,11.593 °C,24 days 01:36:16,-1.6000000000000083,,,
2020-10-09 15:15:12,2020-11-09 14:16:52,2020-11-09 14:27:12,Completed,100.0 % Sat,101.0,101.3,0.0 % Sat,20.086 °C,30 days 23:12:00,0.2999999999999971,98.08,95.32,-2.760000000000005
2020-11-09 14:27:12,2020-12-08 09:43:01,2020-12-08 09:43:43,Completed,100.0 % Sat,100.0,99.6,0.0 % Sat,18.873 °C,28 days 19:16:31,-0.4000000000000057,,,
2020-12-08 09:43:43,2021-02-24 10:25:19,2021-02-24 10:36:18,Completed,100.0 % Sat,98.0,99.2,0.0 % Sat,20.253 °C,78 days 00:52:35,1.2000000000000028,,,
2021-02-24 10:36:18,2021-03-24 10:13:25,2021-03-24 10:23:50,Completed,100.0 % Sat,89.0,98.9,0.0 % Sat,20.050 °C,27 days 23:47:32,9.900000000000006,,,
2021-03-24 10:23:50,2021-04-30 10:13:10,2021-04-30 10:25:45,Completed,100.0 % Sat,108.6,100.5,0.0 % Sat,19.064 °C,37 days 00:01:55,-8.099999999999994,,,
2021-04-30 10:25:45,2021-06-03 11:30:15,2021-06-03 11:30:58,Completed,100.0 % Sat,104.6,101.3,0.0 % Sat,20.486 °C,34 days 01:05:13,-3.299999999999997,,,
2021-06-03 11:30:58,2021-06-29 12:46:44,2021-06-29 13:00:44,Completed,100.0 % Sat,101.5,100.3,0.0 % Sat,20.556 °C,26 days 01:29:46,-1.2000000000000028,,,
2021-06-29 13:00:44,2021-08-16 15:57:44,2021-08-16 16:08:00,Completed,100.0 % Sat,98.2,99.7,0.0 % Sat,19.837 °C,48 days 03:07:16,1.5,,,
2021-08-16 16:08:00,2021-10-26 14:41:52,2021-10-26 14:49:26,Completed,100.0 % Sat,101.0,99.0,0.0 % Sat,18.489 °C,70 days 22:41:26,-2.0,,,
2021-10-26 14:49:26,2022-03-24 15:56:03,2022-03-24 15:56:35,Completed,100.0 % Sat,98.0,101.1,0.0 % Sat,19.524 °C,149 days 01:07:09,3.0999999999999943,,,
2022-03-24 15:56:35,2022-04-22 11:15:06,2022-04-22 11:15:39,Completed,100.0 % Sat,102.2,101.6,0.0 % Sat,18.171 °C,28 days 19:19:04,-0.6000000000000085,,,
2022-04-22 11:15:39,2022-06-20 13:36:56,2022-06-20 13:37:25,Completed,100.0 % Sat,100.9,100.1,0.0 % Sat,19.310 °C,59 days 02:21:46,-0.8000000000000114,,,
2022-06-20 13:37:25,2022-09-21 15:15:50,2022-09-21 15:16:11,Completed,100.0 % Sat,101.2,100.8,0.0 % Sat,17.006 °C,93 days 01:38:46,-0.4000000000000057,99.44,98.67,-0.769999999999996
