Last Calibration Time,Calibration Start Time,Calibration End Time,Calibration Status,Standard,Pre Calibration Value,Post Calibration Value,Raw Value,Temperature,Timespan,Correction1,Before Value,After Value,Difference
2020-09-15 11:17:50,2020-10-08 14:06:25,2020-10-08 14:09:58,Completed,1000.0 µS/cm,1069.2,1000.0,0.0 µS/cm,20.543 °C,23 days 02:52:08,-69.20000000000005,,,
2020-10-08 14:09:58,2020-11-09 14:13:14,2020-11-09 14:14:59,Completed,1000.0 µS/cm,1003.2,1000.0,0.0 µS/cm,19.950 °C,32 days 00:05:01,-3.200000000000045,44.38,44.48,0.09999999999999432
2020-11-09 14:14:59,2020-12-08 09:23:40,2020-12-08 09:26:25,Completed,1000.0 µS/cm,993.4,1000.0,0.0 µS/cm,19.841 °C,28 days 19:11:26,6.600000000000023,,,
2020-12-08 09:26:25,2021-02-24 10:17:37,2021-02-24 10:20:37,Completed,1000.0 µS/cm,998.2,1000.0,0.0 µS/cm,19.948 °C,78 days 00:54:12,1.7999999999999543,,,
2021-02-24 10:20:37,2021-03-24 10:09:39,2021-03-24 10:11:43,Completed,1000.0 µS/cm,999.5,1000.0,0.0 µS/cm,19.889 °C,27 days 23:51:06,0.5,,,
2021-03-24 10:11:43,2021-04-30 10:26:41,2021-04-30 10:28:52,Completed,1000.0 µS/cm,1004.7,1000.0,0.0 µS/cm,19.631 °C,37 days 00:17:09,-4.7000000000000455,,,
2021-04-30 10:28:52,2021-06-03 11:13:16,2021-06-03 11:17:15,Completed,1000.0 µS/cm,989.7,1000.0,0.0 µS/cm,20.186 °C,34 days 00:48:23,10.299999999999956,,,
2021-06-03 11:17:15,2021-06-29 11:57:19,2021-06-29 11:59:24,Completed,1000.0 µS/cm,1005.4,1000.0,0.0 µS/cm,20.106 °C,26 days 00:42:09,-5.399999999999977,,,
2021-06-29 11:59:24,2021-08-16 15:34:36,2021-08-16 15:36:24,Completed,1000.0 µS/cm,999.3,1000.0,0.0 µS/cm,20.319 °C,48 days 03:37:00,0.7000000000000455,,,
2021-08-16 15:36:24,2021-10-26 14:30:01,2021-10-26 14:31:59,Completed,1000.0 µS/cm,1007.1,1000.0,0.0 µS/cm,19.275 °C,70 days 22:55:35,-7.100000000000023,,,
2021-10-26 14:31:59,2022-03-24 15:28:45,2022-03-24 15:32:47,Completed,1000.0 µS/cm,995.8,1000.0,0.0 µS/cm,20.341 °C,149 days 01:00:48,4.2000000000000455,,,
2022-03-24 15:32:47,2022-04-22 11:01:35,2022-04-22 11:03:09,Completed,1000.0 µS/cm,1005.2,1000.0,0.0 µS/cm,19.942 °C,28 days 19:30:22,-5.2000000000000455,,,
2022-04-22 11:03:09,2022-06-20 13:18:50,2022-06-20 13:21:10,Completed,1000.0 µS/cm,990.6,1000.0,0.0 µS/cm,19.632 °C,59 days 02:18:01,9.399999999999975,,,
2022-06-20 13:21:10,2022-09-21 14:56:02,2022-09-21 14:59:38,Completed,1000.0 µS/cm,1005.5,1000.0,0.0 µS/cm,18.997 °C,93 days 01:38:28,-5.5,45.7,45.48,-0.22000000000000597
2022-09-21 14:59:38,2022-11-02 12:37:48,2022-11-02 12:39:29,Completed,1000.0 µS/cm,995.6,1000.0,0.0 µS/cm,19.297 °C,41 days 21:39:51,4.399999999999977,,,
2022-11-02 12:39:29,2023-04-13 16:20:16,2023-04-13 16:24:33,Completed,1000.0 µS/cm,1048.8,1000.0,0.0 µS/cm,19.515 °C,162 days 03:45:04,-48.79999999999996,,,
2023-04-13 16:24:33,2023-05-23 10:03:45,2023-05-23 10:10:47,Completed,1000.0 µS/cm,940.0,1000.0,0.0 µS/cm,20.029 °C,39 days 17:46:14,60.0,,,
2023-05-23 10:10:47,2023-07-12 11:18:34,2023-07-12 11:23:42,Completed,1000.0 µS/cm,999.6,1000.0,0.0 µS/cm,20.707 °C,50 days 01:12:55,0.3999999999999772,48.06,48.07,0.00999999999999801
2023-07-12 11:23:42,2023-08-18 10:28:34,2023-08-18 10:30:26,Completed,1000.0 µS/cm,1004.9,1000.0,0.0 µS/cm,19.737 °C,36 days 23:06:44,-4.899999999999977,47.26,47.21,-0.04999999999999716
2023-08-18 10:30:26,2023-09-27 12:13:14,2023-09-27 12:15:10,Completed,1000.0 µS/cm,1002.1,1000.0,0.0 µS/cm,19.876 °C,40 days 01:44:44,-2.1000000000000227,46.4,46.3,-0.10000000000000142
2023-09-27 12:15:10,2023-10-25 10:23:07,2023-10-25 10:26:04,Completed,1000.0 µS/cm,996.7,1000.0,0.0 µS/cm,19.370 °C,27 days 22:10:54,3.2999999999999545,,,
2023-10-25 10:26:04,2024-04-19 11:54:56,2024-04-19 11:56:25,Completed,1000.0 µS/cm,999.2,1000.0,0.0 µS/cm,19.153 °C,177 days 01:30:21,0.7999999999999545,,,
2023-10-25 10:26:04,2024-04-19 11:54:56,2024-04-19 11:56:25,Completed,1000.0 µS/cm,999.2,1000.0,0.0 µS/cm,19.153 °C,177 days 01:30:21,0.7999999999999545,,,
2024-04-19 11:56:25,2024-08-21 11:17:51,2024-08-21 11:20:50,Completed,1000.0 µS/cm,1013.6,1000.0,0.0 µS/cm,19.724 °C,123 days 23:24:25,-13.600000000000025,46.46,45.82,-0.6400000000000006
2024-08-21 11:20:50,2024-09-27 10:36:33,2024-09-27 10:38:27,Completed,1000.0 µS/cm,1006.8,1000.0,0.0 µS/cm,19.085 °C,36 days 23:17:37,-6.7999999999999545,45.45,45.4,-0.05000000000000426
