Last Calibration Time,Calibration Start Time,Calibration End Time,Calibration Status,Standard,Pre Calibration Value,Post Calibration Value,Raw Value,Temperature,Timespan,Correction1,Before Value,After Value,Difference,Between Count
2020-06-05 15:04:10,2020-07-23 14:06:10,2020-07-23 14:12:07,Completed,0.00 FNU,1.73,0.0,0.00 FNU,22.544 °C,47 days 23:07:57,-1.73,,,,0
2020-07-23 14:12:07,2020-08-13 12:52:08,2020-08-13 13:00:19,Completed,0.00 FNU,-0.86,0.0,0.00 FNU,22.437 °C,20 days 22:48:12,0.86,,,,0
2020-08-13 13:00:19,2020-09-15 11:09:10,2020-09-15 11:14:30,Completed,0.00 FNU,1.25,0.0,0.00 FNU,22.162 °C,32 days 22:14:11,-1.25,,,,0
2020-09-15 11:14:30,2020-10-08 13:49:40,2020-10-08 13:57:20,Completed,0.00 FNU,-1.13,0.0,0.00 FNU,21.288 °C,23 days 02:42:50,1.13,,,,0
2020-10-08 13:57:20,2020-11-09 12:37:56,2020-11-09 12:42:04,Completed,0.00 FNU,-0.3,0.0,0.00 FNU,21.270 °C,31 days 22:44:44,0.3,-0.7,-0.32,0.37999999999999995,0
2020-11-09 12:42:04,2020-12-08 09:14:21,2020-12-08 09:22:23,Completed,0.00 FNU,-0.77,0.0,0.00 FNU,20.910 °C,28 days 20:40:19,0.77,,,,0
2020-12-08 09:22:23,2021-02-24 10:46:26,2021-02-24 10:50:48,Completed,0.00 FNU,0.17,0.0,0.00 FNU,19.524 °C,78 days 01:28:25,-0.17,,,,0
2021-02-24 10:50:48,2021-03-24 10:46:21,2021-03-24 10:52:50,Completed,0.00 FNU,3.11,0.0,0.00 FNU,20.179 °C,28 days 00:02:02,-3.11,,,,0
2021-03-24 10:52:50,2021-04-30 10:46:27,2021-04-30 10:55:33,Completed,0.00 FNU,-0.33,0.0,0.00 FNU,18.964 °C,37 days 00:02:43,0.33,,,,0
2021-04-30 10:55:33,2021-06-03 11:51:50,2021-06-03 12:02:16,CompletedWithWarnings,0.00 FNU,17.55,0.0,0.00 FNU,20.119 °C,34 days 01:06:43,-17.55,,,,0
2021-06-03 12:02:16,2021-06-03 12:07:46,2021-06-03 12:13:55,Completed,0.00 FNU,-236.91,0.0,0.00 FNU,18.265 °C,0 days 00:11:39,236.91,,,,0
2021-06-03 12:13:55,2021-06-29 12:32:09,2021-06-29 12:38:23,Completed,0.00 FNU,-4.72,0.0,0.00 FNU,20.709 °C,26 days 00:24:28,4.72,,,,0
2021-06-29 12:38:23,2021-08-16 15:45:59,2021-08-16 15:54:53,Completed,0.00 FNU,-4.96,0.0,0.00 FNU,20.127 °C,48 days 03:16:30,4.96,,,,0
2021-08-16 15:54:53,2021-10-26 14:50:28,2021-10-26 15:06:47,Completed,0.00 FNU,-0.21,0.0,0.00 FNU,18.756 °C,70 days 23:11:54,0.21,,,,0
2021-10-26 15:06:47,2022-03-24 16:10:11,2022-03-24 16:18:07,Completed,0.00 FNU,0.11,0.0,0.00 FNU,18.650 °C,149 days 01:11:20,-0.11,,,,0
2022-03-24 16:18:07,2022-04-22 11:27:36,2022-04-22 11:41:55,Completed,0.00 FNU,0.41,0.0,0.00 FNU,18.919 °C,28 days 19:23:48,-0.41,,,,0
2022-04-22 11:41:55,2022-06-20 13:56:36,2022-06-20 14:01:45,Completed,0.00 FNU,-0.09,0.0,0.00 FNU,19.006 °C,59 days 02:19:50,0.09,,,,0
2022-06-20 14:01:45,2022-09-21 14:33:51,2022-09-21 14:37:09,Completed,0.00 FNU,-0.2,0.0,0.00 FNU,20.791 °C,93 days 00:35:24,0.2,0.95,1.64,0.69,0
2022-09-21 14:37:09,2022-11-02 13:04:32,2022-11-02 13:08:33,Completed,0.00 FNU,0.17,0.0,0.00 FNU,19.567 °C,41 days 22:31:24,-0.17,,,,0
2022-11-02 13:08:33,2023-04-13 16:07:19,2023-04-13 16:12:22,Completed,0.00 FNU,-0.13,0.0,0.00 FNU,19.591 °C,162 days 03:03:49,0.13,,,,0
2023-04-13 16:12:22,2023-05-23 11:11:27,2023-05-23 11:17:59,Completed,0.00 FNU,0.02,0.0,0.00 FNU,18.594 °C,39 days 19:05:37,-0.02,,,,0
