Last Calibration Time,Calibration Start Time,Calibration End Time,Calibration Status,Standard,Pre Calibration Value,Post Calibration Value,Raw Value,Temperature,Timespan,Correction1,Before Value,After Value,Difference
2020-06-05 17:04:29,2020-07-23 15:45:45,2020-07-23 15:51:13,Completed,0.00 QSU,-0.9,0.0,0.00 QSU,22.835 °C,47 days 22:46:44,0.9,18.35,17.28,-1.0700000000000003
2020-07-23 15:51:13,2020-08-13 14:08:12,2020-08-13 14:11:36,Completed,0.00 QSU,0.02,0.0,0.00 QSU,22.395 °C,20 days 22:20:23,-0.02,,,
2020-08-13 14:11:36,2020-09-15 11:38:28,2020-09-15 11:40:37,Completed,0.00 QSU,-0.21,0.0,0.00 QSU,21.284 °C,32 days 21:29:01,0.21,,,
2020-09-15 11:40:37,2020-10-08 14:42:44,2020-10-08 14:48:45,Completed,0.00 QSU,1.59,0.0,0.00 QSU,20.934 °C,23 days 03:08:08,-1.59,,,
2020-10-08 14:48:45,2020-11-09 14:46:20,2020-11-09 14:50:07,Completed,0.00 QSU,-0.94,-0.01,0.00 QSU,19.287 °C,32 days 00:01:22,0.93,22.8,28.53,5.73
2020-11-09 14:50:07,2020-12-08 10:40:55,2020-12-08 10:42:34,Completed,0.00 QSU,-0.51,0.0,0.00 QSU,19.827 °C,28 days 19:52:27,0.51,,,
2020-12-08 10:42:34,2021-02-24 11:08:17,2021-02-24 11:10:41,Completed,0.00 QSU,-0.13,0.0,0.00 QSU,18.724 °C,78 days 00:28:07,0.13,,,
2021-02-24 11:10:41,2021-03-24 11:04:04,2021-03-24 11:08:36,Completed,0.00 QSU,-0.16,0.0,0.00 QSU,19.860 °C,27 days 23:57:55,0.16,,,
2021-03-24 11:08:36,2021-04-30 11:24:20,2021-04-30 11:26:18,Completed,0.00 QSU,1.08,0.0,0.00 QSU,18.694 °C,37 days 00:17:42,-1.08,,,
2021-04-30 11:26:18,2021-06-03 12:33:21,2021-06-03 12:35:28,Completed,0.00 QSU,-0.24,0.0,0.00 QSU,19.002 °C,34 days 01:09:10,0.24,,,
2021-06-03 12:35:28,2021-06-29 13:06:38,2021-06-29 13:13:26,Completed,0.00 QSU,1.52,0.0,0.00 QSU,19.700 °C,26 days 00:37:58,-1.52,,,
2021-06-29 13:13:26,2021-08-16 16:08:47,2021-08-16 16:13:49,Completed,0.00 QSU,-1.21,0.0,0.00 QSU,20.047 °C,48 days 03:00:23,1.21,,,
2021-08-16 16:13:49,2021-10-26 15:48:42,2021-10-26 15:51:16,Completed,0.00 QSU,0.35,0.0,0.00 QSU,18.231 °C,70 days 23:37:27,-0.35,,,
2021-10-26 15:51:16,2022-03-24 16:21:29,2022-03-24 16:26:29,Completed,0.00 QSU,-1.24,0.0,0.00 QSU,18.483 °C,149 days 00:35:13,1.24,,,
2022-03-24 16:26:29,2022-06-20 14:11:17,2022-06-20 14:16:01,Completed,0.00 QSU,0.67,0.0,0.00 QSU,18.466 °C,87 days 21:49:32,-0.67,,,
