Last Calibration Time,Calibration Start Time,Calibration End Time,Calibration Status,Standard,Pre Calibration Value,Post Calibration Value,Raw Value,Temperature,Timespan,Correction1,Before Value,After Value,Difference,Between Count
2020-06-05 17:09:38,2020-07-23 15:54:11,2020-07-23 15:58:40,Completed,0.00 RFU,-0.31,0.0,0.00 RFU,22.857 °C,47 days 22:49:02,0.31,,,,0
2020-07-23 15:58:40,2020-08-13 13:58:14,2020-08-13 14:05:39,Completed,0.00 RFU,0.03,0.0,0.00 RFU,22.352 °C,20 days 22:06:59,-0.03,,,,0
2020-08-13 14:05:39,2020-09-15 11:32:55,2020-09-15 11:37:11,Completed,0.00 RFU,-0.04,0.0,0.00 RFU,21.478 °C,32 days 21:31:32,0.04,,,,0
2020-09-15 11:37:11,2020-10-08 14:51:10,2020-10-08 14:53:25,Completed,0.00 RFU,0.02,0.0,0.00 RFU,20.808 °C,23 days 03:16:14,-0.02,,,,0
2020-10-08 14:53:25,2020-11-09 14:41:29,2020-11-09 14:46:09,Completed,0.00 RFU,-0.02,0.0,0.00 RFU,20.458 °C,31 days 23:52:44,0.02,7.97,9.53,1.5599999999999996,0
2020-11-09 14:46:09,2020-12-08 10:01:17,2020-12-08 10:02:58,Completed,0.00 RFU,-0.01,0.0,0.00 RFU,20.383 °C,28 days 19:16:49,0.01,,,,0
2020-12-08 10:02:58,2021-02-24 11:12:59,2021-02-24 11:15:15,Completed,0.00 RFU,0.2,0.0,0.00 RFU,18.639 °C,78 days 01:12:17,-0.2,,,,0
2021-02-24 11:15:15,2021-03-24 11:09:33,2021-03-24 11:12:11,Completed,0.00 RFU,-0.19,0.0,0.00 RFU,19.942 °C,27 days 23:56:56,0.19,,,,0
2021-03-24 11:12:11,2021-04-30 11:19:56,2021-04-30 11:22:30,Completed,0.00 RFU,0.13,0.0,0.00 RFU,17.976 °C,37 days 00:10:19,-0.13,,,,0
2021-04-30 11:22:30,2021-06-03 12:28:40,2021-06-03 12:30:53,Completed,0.00 RFU,0.02,0.0,0.00 RFU,19.171 °C,34 days 01:08:23,-0.02,,,,0
2021-06-03 12:30:53,2021-06-29 13:01:55,2021-06-29 13:04:42,Completed,0.00 RFU,-0.06,0.0,0.00 RFU,20.080 °C,26 days 00:33:49,0.06,,,,0
2021-06-29 13:04:42,2021-08-16 16:14:05,2021-08-16 16:20:49,Completed,0.00 RFU,0.29,0.0,0.00 RFU,19.229 °C,48 days 03:16:07,-0.29,,,,0
2021-08-16 16:20:49,2021-10-26 15:39:00,2021-10-26 15:46:12,Completed,0.00 RFU,-0.41,0.0,0.00 RFU,19.137 °C,70 days 23:25:23,0.41,,,,0
2021-10-26 15:46:12,2022-03-24 16:26:38,2022-03-24 16:30:56,Completed,0.00 RFU,0.03,0.0,0.00 RFU,17.850 °C,149 days 00:44:44,-0.03,,,,0
2022-03-24 16:30:56,2022-04-22 11:50:41,2022-04-22 11:54:43,Completed,0.00 RFU,-0.08,0.0,0.00 RFU,18.573 °C,28 days 19:23:47,0.08,,,,0
2022-04-22 11:54:43,2022-06-20 14:05:47,2022-06-20 14:11:06,Completed,0.00 RFU,0.13,0.0,0.00 RFU,18.823 °C,59 days 02:16:23,-0.13,,,,0
2022-06-20 14:11:06,2022-09-21 15:20:44,2022-09-21 15:23:45,Completed,0.00 RFU,0.13,0.0,0.00 RFU,19.271 °C,93 days 01:12:39,-0.13,8.46,8.04,0.4200000000000017,0
2022-09-21 15:23:45,2022-11-02 13:12:52,2022-11-02 13:17:25,Completed,0.00 RFU,-0.29,0.0,0.00 RFU,18.869 °C,41 days 21:53:40,0.29,,,,0
2022-11-02 13:17:25,2023-04-13 15:49:58,2023-04-13 15:57:21,CompletedWithWarnings,0.00 RFU,0.12,0.0,0.00 RFU,20.324 °C,162 days 02:39:56,-0.12,,,,0
2023-04-13 15:57:21,2023-05-23 10:49:39,2023-05-23 11:02:16,CompletedWithWarnings,0.00 RFU,-0.13,0.0,0.00 RFU,19.557 °C,39 days 19:04:55,0.13,,,,0
2023-05-23 11:02:16,2023-07-12 11:59:03,2023-07-12 12:04:45,Completed,0.00 RFU,0.07,0.0,0.00 RFU,20.448 °C,50 days 01:02:29,-0.07,4.61,4.61,0.0,0
2023-07-12 12:04:45,2023-08-18 11:03:25,2023-08-18 11:06:10,Completed,0.00 RFU,-0.07,0.0,0.00 RFU,19.497 °C,36 days 23:01:25,0.07,5.53,5.5,0.03000000000000025,0
2023-08-18 11:06:10,2023-09-27 12:44:27,2023-09-27 12:47:31,Completed,0.00 RFU,-0.07,0.0,0.00 RFU,18.900 °C,40 days 01:41:21,0.07,7.34,7.18,0.16000000000000014,0
2023-09-27 12:47:31,2023-10-25 11:03:06,2023-10-25 11:04:47,Completed,0.00 RFU,0.06,0.0,0.00 RFU,18.990 °C,27 days 22:17:16,-0.06,,,,0
2023-10-25 11:04:47,2024-04-19 12:39:30,2024-04-19 12:42:13,Completed,0.00 RFU,-0.03,0.0,0.00 RFU,19.744 °C,177 days 01:37:26,0.03,,,,0
2023-10-25 11:04:47,2024-04-19 12:39:30,2024-04-19 12:42:13,Completed,0.00 RFU,-0.03,0.0,0.00 RFU,19.744 °C,177 days 01:37:26,0.03,,,,0
2024-04-19 12:42:13,2024-05-24 13:35:57,2024-05-24 13:38:44,Completed,100.00 RFU,97.95,99.98,0.00 RFU,21.154 °C,35 days 00:56:31,2.030000000000001,5.56,5.71,0.15000000000000036,0
2024-05-24 13:38:44,2024-06-27 11:23:09,2024-06-27 11:34:48,Completed,100.00 RFU,103.27,100.0,0.00 RFU,20.144 °C,33 days 21:56:04,-3.269999999999996,6.04,5.72,0.3200000000000003,0
2024-06-27 11:34:48,2024-08-21 11:56:49,2024-08-21 12:00:57,Completed,100.00 RFU,85.34,100.0,0.00 RFU,19.318 °C,55 days 00:26:09,14.659999999999997,6.35,7.31,0.96,0
2024-08-21 12:00:57,2024-09-27 11:18:00,2024-09-27 11:20:23,Completed,0.00 RFU,0.08,0.0,0.00 RFU,18.743 °C,36 days 23:19:26,-0.08,8.14,7.78,0.3600000000000003,0
