Last Calibration Time,Calibration Start Time,Calibration End Time,Calibration Status,Standard,Pre Calibration Value,Post Calibration Value,Raw Value,Temperature,Timespan,Correction1,Before Value,After Value,Difference
2020-06-05 15:31:52,2020-07-23 14:18:25,2020-07-23 14:37:20,CompletedWithWarnings,7.02 pH,-3.65,7.02,607.2 mV,22.712 °C,47 days 23:05:28,10.67,-3.97,0.0,3.97
2020-09-15 10:07:41,2020-09-15 10:16:03,2020-09-15 10:35:45,CompletedWithWarnings,7.00 pH,8.28,7.0,370.7 mV,21.741 °C,0 days 00:28:04,-1.2799999999999994,0.0,8.99,8.99
,2021-03-24 09:53:13,2021-03-24 10:06:29,Completed,7.00 pH,7.09,7.0,-5.3 mV,19.989 °C,,-0.0899999999999998,,,
2021-03-24 10:06:29,2021-04-30 10:00:33,2021-04-30 10:10:11,Completed,7.02 pH,7.14,7.02,-14.6 mV,18.480 °C,37 days 00:03:42,-0.1200000000000001,,,
2021-04-30 10:10:11,2021-06-03 11:31:58,2021-06-03 11:43:03,Completed,7.02 pH,7.08,7.02,-16.3 mV,20.191 °C,34 days 01:32:52,-0.0600000000000005,,,
2021-06-03 11:43:03,2021-06-29 11:50:43,2021-06-29 11:56:08,Completed,7.02 pH,6.97,7.02,-16.7 mV,19.506 °C,26 days 00:13:05,0.0499999999999998,,,
2021-06-29 11:56:08,2021-08-16 15:26:32,2021-08-16 15:32:47,Completed,7.02 pH,6.93,7.02,-14.4 mV,21.370 °C,48 days 03:36:39,0.0899999999999998,,,
2021-08-16 15:32:47,2021-10-26 14:07:36,2021-10-26 14:24:29,Completed,7.02 pH,7.08,7.02,-21.4 mV,19.126 °C,70 days 22:51:42,-0.0600000000000005,,,
2021-10-26 14:24:29,2022-03-24 15:34:40,2022-03-24 15:43:05,Completed,7.02 pH,6.78,7.02,-8.9 mV,20.105 °C,149 days 01:18:36,0.2399999999999993,,,
2022-03-24 15:43:05,2022-04-22 10:52:39,2022-04-22 10:59:18,Completed,7.02 pH,7.04,7.02,-9.3 mV,20.079 °C,28 days 19:16:13,-0.0200000000000004,,,
2022-04-22 10:59:18,2022-06-20 13:10:23,2022-06-20 13:17:36,Completed,7.02 pH,7.17,7.02,-18.8 mV,19.766 °C,59 days 02:18:18,-0.1500000000000003,,,
2022-06-20 13:17:36,2022-09-21 14:41:40,2022-09-21 14:53:04,Completed,7.02 pH,7.22,7.02,-31.0 mV,19.749 °C,93 days 01:35:28,-0.2000000000000001,6.5,6.3,-0.20000000000000018
2022-09-21 14:53:04,2022-11-02 12:28:02,2022-11-02 12:36:02,Completed,7.02 pH,7.11,7.02,-34.2 mV,20.125 °C,41 days 21:42:58,-0.0900000000000007,,,
2022-11-02 12:36:02,2023-04-13 16:27:42,2023-04-13 16:38:35,Completed,7.02 pH,6.9,7.02,-25.5 mV,20.817 °C,162 days 04:02:33,0.1199999999999992,,,
2023-04-13 16:38:35,2023-05-23 10:13:51,2023-05-23 10:27:02,Completed,7.02 pH,7.04,7.02,-29.7 mV,20.576 °C,39 days 17:48:27,-0.0200000000000004,,,
2023-05-23 10:27:02,2023-07-12 11:03:40,2023-07-12 11:16:22,Completed,7.02 pH,7.0,7.02,-31.8 mV,21.030 °C,50 days 00:49:20,0.0199999999999995,6.71,6.71,0.0
2023-07-12 11:16:22,2023-08-18 10:18:29,2023-08-18 10:27:31,Completed,7.02 pH,7.18,7.02,-41.8 mV,20.668 °C,36 days 23:11:09,-0.1600000000000001,6.71,6.68,-0.03000000000000025
2023-08-18 10:27:31,2023-09-27 11:53:10,2023-09-27 12:11:13,Completed,7.02 pH,7.07,7.02,-43.0 mV,20.533 °C,40 days 01:43:42,-0.0500000000000007,6.46,6.43,-0.03000000000000025
2023-09-27 12:11:13,2023-10-25 10:06:04,2023-10-25 10:21:18,CompletedWithWarnings,7.02 pH,7.11,7.02,-45.9 mV,19.741 °C,27 days 22:10:05,-0.0900000000000007,,,
2023-10-25 10:21:18,2024-04-19 11:39:51,2024-04-19 11:45:11,Completed,7.00 pH,6.77,7.0,-29.3 mV,19.675 °C,177 days 01:23:53,0.2300000000000004,,,
2023-10-25 10:21:18,2024-04-19 11:39:51,2024-04-19 11:45:11,Completed,7.00 pH,6.77,7.0,-29.3 mV,19.675 °C,177 days 01:23:53,0.2300000000000004,,,
2024-04-19 11:45:11,2024-04-19 11:46:41,2024-04-19 11:53:09,Completed,10.00 pH,9.95,10.0,-203.0 mV,19.636 °C,0 days 00:07:58,0.0500000000000007,,,
2024-04-19 11:45:11,2024-04-19 11:46:41,2024-04-19 11:53:09,Completed,10.00 pH,9.95,10.0,-203.0 mV,19.636 °C,0 days 00:07:58,0.0500000000000007,,,
2024-04-19 11:53:09,2024-05-24 11:55:59,2024-05-24 12:10:09,Completed,4.00 pH,4.33,4.0,128.4 mV,21.555 °C,35 days 00:17:00,-0.33,6.75,6.56,-0.1900000000000004
2024-05-24 12:10:09,2024-05-24 12:43:13,2024-05-24 12:54:12,Completed,4.00 pH,3.86,4.0,135.8 mV,20.402 °C,0 days 00:44:03,0.1400000000000001,6.75,6.56,-0.1900000000000004
2024-05-24 12:54:12,2024-06-27 10:39:15,2024-06-27 10:47:20,Completed,4.00 pH,4.16,4.0,126.1 mV,20.664 °C,33 days 21:53:08,-0.1600000000000001,6.54,6.46,-0.08000000000000007
2024-06-27 10:47:20,2024-08-21 11:01:49,2024-08-21 11:17:09,Completed,4.00 pH,3.37,4.0,163.3 mV,20.026 °C,55 days 00:29:49,0.6299999999999999,6.54,6.84,0.2999999999999998
