Last Calibration Time,Calibration Start Time,Calibration End Time,Calibration Status,QC Score,Instrument Type,Instrument Name,Instrument Serial Number,Instrument Firmware Version,Parameter Type,Sensor Type,Sensor Serial Number,Sensor Firmware Version,User ID,Cell Constant,Standard,Pre Calibration Value,Post Calibration Value,Raw Value,Temperature,Stability Achieved,Timespan,Correction1
2020-09-15 11:17:50,2020-10-08 14:06:25,2020-10-08 14:09:58,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.47,1000.0 µS/cm,1069.2,1000.0,0.0 µS/cm,20.543 °C,Yes,23 days 02:52:08,-69.20000000000005
2020-10-08 14:09:58,2020-11-09 14:13:14,2020-11-09 14:14:59,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.47,1000.0 µS/cm,1003.2,1000.0,0.0 µS/cm,19.950 °C,Yes,32 days 00:05:01,-3.2000000000000455
2020-11-09 14:14:59,2020-12-08 09:23:40,2020-12-08 09:26:25,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,993.4,1000.0,0.0 µS/cm,19.841 °C,Yes,28 days 19:11:26,6.600000000000023
2020-12-08 09:26:25,2021-02-24 10:17:37,2021-02-24 10:20:37,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,998.2,1000.0,0.0 µS/cm,19.948 °C,Yes,78 days 00:54:12,1.7999999999999545
2021-02-24 10:20:37,2021-03-24 10:09:39,2021-03-24 10:11:43,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,999.5,1000.0,0.0 µS/cm,19.889 °C,Yes,27 days 23:51:06,0.5
2021-03-24 10:11:43,2021-04-30 10:26:41,2021-04-30 10:28:52,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.47,1000.0 µS/cm,1004.7,1000.0,0.0 µS/cm,19.631 °C,Yes,37 days 00:17:09,-4.7000000000000455
2021-04-30 10:28:52,2021-06-03 11:13:16,2021-06-03 11:17:15,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,989.7,1000.0,0.0 µS/cm,20.186 °C,Yes,34 days 00:48:23,10.299999999999955
2021-06-03 11:17:15,2021-06-29 11:57:19,2021-06-29 11:59:24,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,1005.4,1000.0,0.0 µS/cm,20.106 °C,Yes,26 days 00:42:09,-5.399999999999977
2021-06-29 11:59:24,2021-08-16 15:34:36,2021-08-16 15:36:24,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,999.3,1000.0,0.0 µS/cm,20.319 °C,Yes,48 days 03:37:00,0.7000000000000455
2021-08-16 15:36:24,2021-10-26 14:30:01,2021-10-26 14:31:59,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.47,1000.0 µS/cm,1007.1,1000.0,0.0 µS/cm,19.275 °C,Yes,70 days 22:55:35,-7.100000000000023
2021-10-26 14:31:59,2022-03-24 15:28:45,2022-03-24 15:32:47,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,995.8,1000.0,0.0 µS/cm,20.341 °C,Yes,149 days 01:00:48,4.2000000000000455
2022-03-24 15:32:47,2022-04-22 11:01:35,2022-04-22 11:03:09,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.47,1000.0 µS/cm,1005.2,1000.0,0.0 µS/cm,19.942 °C,Yes,28 days 19:30:22,-5.2000000000000455
2022-04-22 11:03:09,2022-06-20 13:18:50,2022-06-20 13:21:10,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,990.6,1000.0,0.0 µS/cm,19.632 °C,Yes,59 days 02:18:01,9.399999999999977
2022-06-20 13:21:10,2022-09-21 14:56:02,2022-09-21 14:59:38,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,1005.5,1000.0,0.0 µS/cm,18.997 °C,Yes,93 days 01:38:28,-5.5
2022-09-21 14:59:38,2022-11-02 12:37:48,2022-11-02 12:39:29,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.73,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,995.6,1000.0,0.0 µS/cm,19.297 °C,Yes,41 days 21:39:51,4.399999999999977
2022-11-02 12:39:29,2023-04-13 16:20:16,2023-04-13 16:24:33,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.46,1000.0 µS/cm,1048.8,1000.0,0.0 µS/cm,19.515 °C,Yes,162 days 03:45:04,-48.799999999999955
2023-04-13 16:24:33,2023-05-23 10:03:45,2023-05-23 10:10:47,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,940.0,1000.0,0.0 µS/cm,20.029 °C,Yes,39 days 17:46:14,60.0
2023-05-23 10:10:47,2023-07-12 11:18:34,2023-07-12 11:23:42,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,999.6,1000.0,0.0 µS/cm,20.707 °C,Yes,50 days 01:12:55,0.39999999999997726
2023-07-12 11:23:42,2023-08-18 10:28:34,2023-08-18 10:30:26,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,1004.9,1000.0,0.0 µS/cm,19.737 °C,Yes,36 days 23:06:44,-4.899999999999977
2023-08-18 10:30:26,2023-09-27 12:13:14,2023-09-27 12:15:10,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,1002.1,1000.0,0.0 µS/cm,19.876 °C,Yes,40 days 01:44:44,-2.1000000000000227
2023-09-27 12:15:10,2023-10-25 10:23:07,2023-10-25 10:26:04,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,996.7,1000.0,0.0 µS/cm,19.370 °C,Yes,27 days 22:10:54,3.2999999999999545
2023-10-25 10:26:04,2024-04-19 11:54:56,2024-04-19 11:56:25,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,999.2,1000.0,0.0 µS/cm,19.153 °C,Yes,177 days 01:30:21,0.7999999999999545
2023-10-25 10:26:04,2024-04-19 11:54:56,2024-04-19 11:56:25,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,999.2,1000.0,0.0 µS/cm,19.153 °C,Yes,177 days 01:30:21,0.7999999999999545
2024-04-19 11:56:25,2024-08-21 11:17:51,2024-08-21 11:20:50,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.48,1000.0 µS/cm,1013.6,1000.0,0.0 µS/cm,19.724 °C,Yes,123 days 23:24:25,-13.600000000000023
2024-08-21 11:20:50,2024-09-27 10:36:33,2024-09-27 10:38:27,Completed,Good,EXO2,Sonde 19G102539,19G102539,1.0.86,Sp Cond (µS/cm),Wiped Conductivity And Temperature,19F100067,3.0.5,<Unknown>,0.47,1000.0 µS/cm,1006.8,1000.0,0.0 µS/cm,19.085 °C,Yes,36 days 23:17:37,-6.7999999999999545
